datetime,conductivity,temp,conductivity_cor,salinity,salinity_cor
2021-06-09T05:15:00Z,27984.2,13.17,35698.041440785746,22.844435065657763,29.895527169617182
2021-06-09T05:30:00Z,27973.2,13.14,35683.684789405255,22.852532597866407,29.90576986428337
2021-06-09T05:45:00Z,27987,13.18,35701.695861137145,22.840959300964883,29.891063753815477
2021-06-09T06:00:00Z,28014.5,13.19,35737.58748958837,22.859661395663853,29.91655748185844
2021-06-09T06:15:00Z,28003.5,13.17,35723.23083820788,22.861771838219802,29.918945154043367
2021-06-09T06:30:00Z,28003.5,13.18,35723.23083820788,22.85577707886788,29.911079130937548
2021-06-09T06:45:00Z,28003.5,13.18,35723.23083820788,22.85577707886788,29.911079130937548
2021-06-09T07:00:00Z,28011.8,13.19,35734.06358424952,22.857237105086877,29.913282784451102
2021-06-09T07:15:00Z,28039.4,13.25,35770.085727713296,22.84606884201673,29.899583727824936
2021-06-09T07:30:00Z,28047.7,13.26,35780.91847375494,22.8475255465524,29.90178227571881
2021-06-09T07:45:00Z,28058.7,13.36,35795.27512513543,22.79764829310403,29.83671094740426
2021-06-09T08:00:00Z,28072.6,13.47,35813.41671187986,22.744618631460362,29.767600312484014
2021-06-09T08:15:00Z,28078.1,13.48,35820.59503757011,22.743585172630702,29.766432843114874
2021-06-09T08:30:00Z,28078.1,13.51,35820.59503757011,22.725789221403677,29.743079629479638
2021-06-09T08:45:00Z,28103.1,13.55,35853.22379070758,22.72433964403357,29.742033342373734
2021-06-09T09:00:00Z,28128.1,13.59,35885.85254384506,22.722885753640522,29.740979829429552
2021-06-09T09:15:00Z,28122.5,13.59,35878.54370314226,22.71790763150246,29.734255467488147
2021-06-09T09:30:00Z,28111.4,13.62,35864.05653674923,22.690303448373992,29.697650255293347
2021-06-09T09:45:00Z,28128.1,13.64,35885.85254384506,22.693316669976245,29.70217429103402
2021-06-09T10:00:00Z,28136.5,13.67,35896.815804899255,22.683056746663798,29.688995658968757
2021-06-09T10:15:00Z,28153.2,13.7,35918.611811995084,22.680165533725948,29.685769595900283
2021-06-09T10:30:00Z,28158.8,13.71,35925.92065269788,22.679231370135447,29.6847340073647
2021-06-09T10:45:00Z,28130.9,13.72,35889.50696419646,22.64861555552034,29.6436053885798
2021-06-09T11:00:00Z,28178.3,13.75,35951.37108014511,22.672926910686133,29.677122171929938
2021-06-09T11:15:00Z,28167.1,13.74,35936.75339873952,22.668900835105973,29.67145791675643
2021-06-09T11:30:00Z,28156,13.74,35922.26623234648,22.659070529443483,29.65817938746649
2021-06-09T11:45:00Z,28172.7,13.74,35944.06223944232,22.67386046145289,29.678157304168796
2021-06-09T12:00:00Z,28183.9,13.75,35958.679920847906,22.677885497896423,29.68382020462837
2021-06-09T12:15:00Z,28186.7,13.8,35962.334341199305,22.650925576299,29.64853102357021
2021-06-09T12:30:00Z,28581.8,14.57,36477.999155783975,22.548020669572114,29.526608340903273
2021-06-09T12:45:00Z,28906.8,15.2,36902.17294657117,22.46619177971763,29.42965596966384
2021-06-09T13:00:00Z,29378.1,16.17,37517.290200718875,22.317336852411948,29.248816796588844
2021-06-09T13:15:00Z,29561,16.52,37756.00215867265,22.27499562543491,29.1987365079224
2021-06-09T13:30:00Z,29670.8,16.74,37899.30764245245,22.24421944762914,29.161582595859162
2021-06-09T13:45:00Z,29877.1,17.1,38168.5601133429,22.215937075966444,29.130542939918783
2021-06-09T14:00:00Z,29883.5,17.18,38176.9130741461,22.17739604909912,29.080034568898814
2021-06-09T14:15:00Z,30044.5,17.55,38387.04224435144,22.107190519123318,28.99240103099598
2021-06-09T14:30:00Z,30161.6,17.77,38539.87532404738,22.083002836457144,28.963973592695393
2021-06-09T14:45:00Z,30302.9,18.22,38724.2930367804,21.9552914783034,28.799958727659416
2021-06-09T15:00:00Z,30362.4,18.43,38801.94946924759,21.89121323687805,28.717309675585902
2021-06-09T15:15:00Z,30385.7,18.58,38832.35946717172,21.830517597683194,28.638079748103156
2021-06-09T15:30:00Z,30445.6,18.74,38910.53795968911,21.79378745985447,28.59141180756291
2021-06-09T15:45:00Z,30365.7,18.48,38806.25646466174,21.867399502836296,28.686060060765332
2021-06-09T16:00:00Z,30273.2,18.27,38685.530078053074,21.905015190651724,28.73294881035874
2021-06-09T16:15:00Z,30438.9,18.68,38901.793453848266,21.819992051443656,28.625716898102578
2021-06-09T16:30:00Z,30722.1,19.26,39271.4119693896,21.73941094631282,28.527468526444224
2021-06-09T16:45:00Z,30838.3,19.46,39423.070413972586,21.72623928892079,28.513291451581857
2021-06-09T17:00:00Z,30831.5,19.51,39414.1953931192,21.695136773901798,28.47214879700223
2021-06-09T17:15:00Z,30821.2,19.48,39400.75234682656,21.7026297698792,28.481736614228588
2021-06-09T17:30:00Z,30807.5,19.52,39382.871790107216,21.671369575923073,28.44020033869979
2021-06-09T17:45:00Z,30852.1,19.69,39441.081485704475,21.618501918544418,28.371787235021824
2021-06-09T18:00:00Z,30955.6,19.97,39576.164523693624,21.555139908900777,28.291118558325216
2021-06-09T18:15:00Z,31066.9,20.32,39721.42773266167,21.46290565646329,28.17258904327908
2021-06-09T18:30:00Z,31154.4,20.64,39835.62836864284,21.36868632398246,28.050774684965003
2021-06-09T18:45:00Z,31256.7,20.84,39969.14522648139,21.34614448224391,28.02373725830922
2021-06-09T19:00:00Z,31292.1,21,40015.34754092406,21.293324099501977,27.955062404575624
2021-06-09T19:15:00Z,31324,21.16,40056.98182992748,21.238177601909893,27.8832262286552
2021-06-09T19:30:00Z,31381,21.26,40131.37538708092,21.231507257487547,27.875895297381817
2021-06-09T19:45:00Z,31477.7,21.52,40257.58340421668,21.175962448439634,27.805162599303113
2021-06-09T20:00:00Z,31578.7,21.76,40389.403566892084,21.1337212133205,27.75204065210697
2021-06-09T20:15:00Z,31702.3,21.86,40550.72012240377,21.176223909548696,27.81115041229773
2021-06-09T20:30:00Z,31423.9,21.62,40187.366327464835,21.087387424627636,27.687089248834493
2021-06-09T20:45:00Z,31363.2,21.32,40108.14371484704,21.188774104917112,27.819136717228673
2021-06-09T21:00:00Z,31021.6,20.48,39662.30443197656,21.348114770100974,28.020202249236878
2021-06-09T21:15:00Z,31025.1,20.53,39666.87245741581,21.325774779114045,27.990870476187588
