datetime,conductivity,temp,conductivity_cor,salinity,salinity_cor
2021-05-25T21:00:00Z,0,22.91,181.54418382382883,8.673617379884035e-19,0.0891427505332316
2021-05-25T21:15:00Z,0,22.97,181.54418382382883,4.336808689942018e-19,0.08902755304933418
2021-05-25T21:30:00Z,0,23.02,181.54418382382883,4.336808689942018e-19,0.08893174893261731
2021-05-25T21:45:00Z,0,22.94,181.54418382382883,0,0.08908512003845373
2021-05-25T22:00:00Z,0,22.95,181.54418382382883,-8.673617379884035e-19,0.08906592399060213
2021-05-25T22:15:00Z,0,22.97,181.54418382382883,4.336808689942018e-19,0.08902755304933418
2021-05-25T22:30:00Z,0,22.94,181.54418382382883,0,0.08908512003845373
2021-05-25T22:45:00Z,0,22.9,181.54418382382883,4.336808689942018e-19,0.08916197482700959
2021-05-25T23:00:00Z,0,23.43,181.54418382382883,4.336808689942018e-19,0.0881527431096546
2021-05-25T23:15:00Z,0,23.2,181.54418382382883,-4.336808689942018e-19,0.08858830577088248
2021-05-25T23:30:00Z,0,22.85,181.54418382382883,8.673617379884035e-19,0.08925820242154013
2021-05-25T23:45:00Z,0,22.75,181.54418382382883,0,0.08945118965862632
2021-05-26T00:00:00Z,0,22.75,181.54418382382883,0,0.08945118965862632
2021-05-26T00:15:00Z,0,22.67,181.54418382382883,4.336808689942018e-19,0.08960609218121719
2021-05-26T00:30:00Z,0,22.58,181.54418382382883,0,0.08978090476351394
2021-05-26T00:45:00Z,0,22.53,181.54418382382883,4.336808689942018e-19,0.08987827416188655
2021-05-26T01:00:00Z,0,22.54,181.54418382382883,0,0.08985878589107889
2021-05-26T01:15:00Z,0,22.58,181.54418382382883,0,0.08978090476351394
2021-05-26T01:30:00Z,0,22.63,181.54418382382883,0,0.08968371498327654
2021-05-26T01:45:00Z,0,22.7,181.54418382382883,0,0.089547950191527
2021-05-26T02:00:00Z,0,22.75,181.54418382382883,0,0.08945118965862632
2021-05-26T02:15:00Z,0,22.78,181.54418382382883,-8.673617379884035e-19,0.08939321885138854
2021-05-26T02:30:00Z,0,22.84,181.54418382382883,4.336808689942018e-19,0.08927746919038589
2021-05-26T02:45:00Z,0,22.87,181.54418382382883,4.336808689942018e-19,0.08921969014442854
2021-05-26T03:00:00Z,0,22.91,181.54418382382883,8.673617379884035e-19,0.0891427505332316
2021-05-26T03:15:00Z,0,22.92,181.54418382382883,-8.673617379884035e-19,0.08912353330623625
2021-05-26T03:30:00Z,0,22.95,181.54418382382883,-8.673617379884035e-19,0.08906592399060213
2021-05-26T03:45:00Z,0,22.96,181.54418382382883,0,0.08904673499540451
2021-05-26T04:00:00Z,0,22.97,181.54418382382883,4.336808689942018e-19,0.08902755304933418
2021-05-26T04:15:00Z,0,22.96,181.54418382382883,0,0.08904673499540451
2021-05-26T04:30:00Z,0,22.96,181.54418382382883,0,0.08904673499540451
2021-05-26T04:45:00Z,0,22.94,181.54418382382883,0,0.08908512003845373
2021-05-26T05:00:00Z,0,22.89,181.54418382382883,-4.336808689942018e-19,0.089181206191108
2021-05-26T05:15:00Z,0,22.87,181.54418382382883,4.336808689942018e-19,0.08921969014442854
2021-05-26T05:30:00Z,0,22.86,181.54418382382883,8.673617379884035e-19,0.08923894274073735
2021-05-26T05:45:00Z,0,22.86,181.54418382382883,8.673617379884035e-19,0.08923894274073735
2021-05-26T06:00:00Z,0,22.76,181.54418382382883,0,0.08943185893731831
2021-05-26T06:15:00Z,0,22.6,181.54418382382883,4.336808689942018e-19,0.08974200732251472
2021-05-26T06:30:00Z,0,22.43,181.54418382382883,8.673617379884035e-19,0.09007355362306242
2021-05-26T06:45:00Z,0,22.28,181.54418382382883,0,0.09036783130139753
2021-05-26T07:00:00Z,0,22.13,181.54418382382883,0,0.09066375016297651
2021-05-26T07:15:00Z,0,21.98,181.54418382382883,8.673617379884035e-19,0.09096132269110381
2021-05-26T07:30:00Z,0,21.86,181.54418382382883,-8.673617379884035e-19,0.09120057981901471
2021-05-26T07:45:00Z,0,21.75,181.54418382382883,-8.673617379884035e-19,0.09142084122317869
2021-05-26T08:00:00Z,0,21.63,181.54418382382883,-8.673617379884035e-19,0.09166216054100375
2021-05-26T08:15:00Z,0,21.53,181.54418382382883,-4.336808689942018e-19,0.09186408891951084
2021-05-26T08:30:00Z,0,21.43,181.54418382382883,4.336808689942018e-19,0.09206677499142599
2021-05-26T08:45:00Z,0,21.36,181.54418382382883,0,0.0922091081432773
2021-05-26T09:00:00Z,0,21.28,181.54418382382883,-8.673617379884035e-19,0.09237223325733834
2021-05-26T09:15:00Z,0,21.2,181.54418382382883,-8.673617379884035e-19,0.09253584952443454
2021-05-26T09:30:00Z,0,21.14,181.54418382382883,0,0.09265888525559644
2021-05-26T09:45:00Z,0,21.07,181.54418382382883,0,0.09280277869254888
2021-05-26T10:00:00Z,0,21,181.54418382382883,-4.336808689942018e-19,0.09294705223483075
2021-05-26T10:15:00Z,0,20.93,181.54418382382883,8.673617379884035e-19,0.093091707250254
2021-05-26T10:30:00Z,0,20.86,181.54418382382883,0,0.09323674511285222
2021-05-26T10:45:00Z,0,20.83,181.54418382382883,4.336808689942018e-19,0.09329902173676956
2021-05-26T11:00:00Z,0,20.78,181.54418382382883,-4.336808689942018e-19,0.09340297323348785
2021-05-26T11:15:00Z,0,20.72,181.54418382382883,0,0.09352797490702064
2021-05-26T11:30:00Z,0,20.67,181.54418382382883,8.673617379884035e-19,0.09363236012865496
2021-05-26T11:45:00Z,0,20.62,181.54418382382883,-4.336808689942018e-19,0.0937369433122835
