datetime,conductivity,temp,conductivity_cor,salinity,salinity_cor
2021-05-25T21:00:00Z,0,22.96,-89.83864642205454,0,NA
2021-05-25T21:15:00Z,0,23.04,-89.83864642205454,0,NA
2021-05-25T21:30:00Z,0,23.06,-89.83864642205454,-4.336808689942018e-19,NA
2021-05-25T21:45:00Z,0,23.01,-89.83864642205454,4.336808689942018e-19,NA
2021-05-25T22:00:00Z,0,23.02,-89.83864642205454,4.336808689942018e-19,NA
2021-05-25T22:15:00Z,0,23.09,-89.83864642205454,4.336808689942018e-19,NA
2021-05-25T22:30:00Z,0,23.06,-89.83864642205454,-4.336808689942018e-19,NA
2021-05-25T22:45:00Z,0,23.58,-89.83864642205454,0,NA
2021-05-25T23:00:00Z,0,22.27,-89.83864642205454,-4.336808689942018e-19,NA
2021-05-25T23:15:00Z,0,21.58,-89.83864642205454,0,NA
2021-05-25T23:30:00Z,0,21.42,-89.83864642205454,4.336808689942018e-19,NA
2021-05-25T23:45:00Z,0,21.41,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T00:00:00Z,0,21.51,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T00:15:00Z,0,21.52,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T00:30:00Z,0,21.57,-89.83864642205454,0,NA
2021-05-26T00:45:00Z,0,21.6,-89.83864642205454,-4.336808689942018e-19,NA
2021-05-26T01:00:00Z,0,21.63,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T01:15:00Z,0,21.67,-89.83864642205454,0,NA
2021-05-26T01:30:00Z,0,21.72,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T01:45:00Z,0,21.82,-89.83864642205454,8.673617379884035e-19,NA
2021-05-26T02:00:00Z,0,21.86,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T02:15:00Z,0,21.91,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T02:30:00Z,0,21.96,-89.83864642205454,0,NA
2021-05-26T02:45:00Z,0,21.99,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T03:00:00Z,0,22.04,-89.83864642205454,0,NA
2021-05-26T03:15:00Z,0,22.05,-89.83864642205454,0,NA
2021-05-26T03:30:00Z,0,22.06,-89.83864642205454,0,NA
2021-05-26T03:45:00Z,0,22.06,-89.83864642205454,0,NA
2021-05-26T04:00:00Z,0,22.08,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T04:15:00Z,0,22.06,-89.83864642205454,0,NA
2021-05-26T04:30:00Z,0,22.03,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T04:45:00Z,0,21.98,-89.83864642205454,8.673617379884035e-19,NA
2021-05-26T05:00:00Z,0,21.81,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T05:15:00Z,0,21.81,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T05:30:00Z,0,23.57,-89.83864642205454,0,NA
2021-05-26T05:45:00Z,0,25.7,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T06:00:00Z,0,24.57,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T06:15:00Z,0,23.21,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T06:30:00Z,0,22.49,-89.83864642205454,-4.336808689942018e-19,NA
2021-05-26T06:45:00Z,0,22.11,-89.83864642205454,-4.336808689942018e-19,NA
2021-05-26T07:00:00Z,0,21.89,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T07:15:00Z,0,21.71,-89.83864642205454,8.673617379884035e-19,NA
2021-05-26T07:30:00Z,0,21.61,-89.83864642205454,-4.336808689942018e-19,NA
2021-05-26T07:45:00Z,0,21.51,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T08:00:00Z,0,21.43,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T08:15:00Z,0,21.37,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T08:30:00Z,0,21.29,-89.83864642205454,-4.336808689942018e-19,NA
2021-05-26T08:45:00Z,0,21.26,-89.83864642205454,0,NA
2021-05-26T09:00:00Z,0,21.2,-89.83864642205454,-8.673617379884035e-19,NA
2021-05-26T09:15:00Z,0,21.15,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T09:30:00Z,0,21.13,-89.83864642205454,4.336808689942018e-19,NA
2021-05-26T09:45:00Z,0,21.08,-89.83864642205454,0,NA
