datetime,conductivity,temp,conductivity_cor,salinity,salinity_cor
2021-05-25T21:00:00Z,0,23.62,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-25T21:15:00Z,0,23.67,-595.0239074538941,0,NA
2021-05-25T21:30:00Z,0,23.71,-595.0239074538941,4.336808689942018e-19,NA
2021-05-25T21:45:00Z,0,23.63,-595.0239074538941,4.336808689942018e-19,NA
2021-05-25T22:00:00Z,0,23.65,-595.0239074538941,4.336808689942018e-19,NA
2021-05-25T22:15:00Z,0,23.59,-595.0239074538941,8.673617379884035e-19,NA
2021-05-25T22:30:00Z,0,23.63,-595.0239074538941,4.336808689942018e-19,NA
2021-05-25T22:45:00Z,0,23.58,-595.0239074538941,0,NA
2021-05-25T23:00:00Z,0,23.42,-595.0239074538941,0,NA
2021-05-25T23:15:00Z,0,22.35,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-25T23:30:00Z,0,21.99,-595.0239074538941,4.336808689942018e-19,NA
2021-05-25T23:45:00Z,0,21.87,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T00:00:00Z,0,21.91,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T00:15:00Z,0,21.82,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T00:30:00Z,0,21.86,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T00:45:00Z,0,21.87,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T01:00:00Z,0,21.89,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T01:15:00Z,0,21.93,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T01:30:00Z,0,21.98,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T01:45:00Z,0,22.12,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T02:00:00Z,0,22.12,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T02:15:00Z,0,22.17,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T02:30:00Z,0,22.2,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T02:45:00Z,0,22.21,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T03:00:00Z,0,22.28,-595.0239074538941,0,NA
2021-05-26T03:15:00Z,0,22.28,-595.0239074538941,0,NA
2021-05-26T03:30:00Z,0,22.31,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T03:45:00Z,0,22.29,-595.0239074538941,0,NA
2021-05-26T04:00:00Z,0,22.31,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T04:15:00Z,0,22.31,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T04:30:00Z,0,22.32,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T04:45:00Z,0,23.43,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T05:00:00Z,0,24.91,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T05:15:00Z,0,24.15,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T05:30:00Z,0,23.62,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T05:45:00Z,0,23.35,-595.0239074538941,0,NA
2021-05-26T06:00:00Z,0,22.9,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T06:15:00Z,0,22.36,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T06:30:00Z,0,22.07,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T06:45:00Z,0,21.97,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T07:00:00Z,0,21.83,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T07:15:00Z,0,21.75,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T07:30:00Z,0,21.7,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T07:45:00Z,0,21.61,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T08:00:00Z,0,21.61,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T08:15:00Z,0,21.55,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T08:30:00Z,0,21.48,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T08:45:00Z,0,21.49,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T09:00:00Z,0,21.44,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T09:15:00Z,0,21.38,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T09:30:00Z,0,21.4,-595.0239074538941,0,NA
2021-05-26T09:45:00Z,0,21.37,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T10:00:00Z,0,21.33,-595.0239074538941,0,NA
2021-05-26T10:15:00Z,0,21.28,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T10:30:00Z,0,21.25,-595.0239074538941,0,NA
2021-05-26T10:45:00Z,0,21.26,-595.0239074538941,0,NA
2021-05-26T11:00:00Z,0,21.23,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T11:15:00Z,0,21.21,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T11:30:00Z,0,21.19,-595.0239074538941,0,NA
2021-05-26T11:45:00Z,0,21.15,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T12:00:00Z,0,21.11,-595.0239074538941,0,NA
2021-05-26T12:15:00Z,0,21.09,-595.0239074538941,0,NA
2021-05-26T12:30:00Z,0,21.04,-595.0239074538941,0,NA
2021-05-26T12:45:00Z,0,21.02,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T13:00:00Z,0,20.96,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T13:15:00Z,0,20.91,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T13:30:00Z,0,20.88,-595.0239074538941,0,NA
2021-05-26T13:45:00Z,0,20.84,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T14:00:00Z,0,20.72,-595.0239074538941,0,NA
2021-05-26T14:15:00Z,0,20.81,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T14:30:00Z,0,20.83,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T14:45:00Z,0,21.02,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T15:00:00Z,0,21.14,-595.0239074538941,0,NA
2021-05-26T15:15:00Z,0,21.19,-595.0239074538941,0,NA
2021-05-26T15:30:00Z,0,21.22,-595.0239074538941,0,NA
2021-05-26T15:45:00Z,0,21.23,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T16:00:00Z,0,21.17,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T16:15:00Z,0,21.13,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T16:30:00Z,0,21.06,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T16:45:00Z,0,20.99,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T17:00:00Z,0,21.03,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T17:15:00Z,0,21.04,-595.0239074538941,0,NA
2021-05-26T17:30:00Z,0,21.03,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T17:45:00Z,0,21.13,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T18:00:00Z,0,21.25,-595.0239074538941,0,NA
2021-05-26T18:15:00Z,0,21.17,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T18:30:00Z,0,21.14,-595.0239074538941,0,NA
2021-05-26T18:45:00Z,0,21.18,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T19:00:00Z,0,21.32,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T19:15:00Z,0,21.36,-595.0239074538941,0,NA
2021-05-26T19:30:00Z,0,21.33,-595.0239074538941,0,NA
2021-05-26T19:45:00Z,0,21.32,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T20:00:00Z,0,21.29,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-26T20:15:00Z,0,21.28,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T20:30:00Z,0,21.26,-595.0239074538941,0,NA
2021-05-26T20:45:00Z,0,21.22,-595.0239074538941,0,NA
2021-05-26T21:00:00Z,0,21.26,-595.0239074538941,0,NA
2021-05-26T21:15:00Z,0,21.11,-595.0239074538941,0,NA
2021-05-26T21:30:00Z,0,21.68,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T21:45:00Z,0,21.76,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T22:00:00Z,0,21.86,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-26T22:15:00Z,0,21.95,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T22:30:00Z,0,22.63,-595.0239074538941,0,NA
2021-05-26T22:45:00Z,0,23.19,-595.0239074538941,0,NA
2021-05-26T23:00:00Z,0,22.86,-595.0239074538941,8.673617379884035e-19,NA
2021-05-26T23:15:00Z,0,22.45,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T23:30:00Z,0,22.12,-595.0239074538941,4.336808689942018e-19,NA
2021-05-26T23:45:00Z,0,22.1,-595.0239074538941,8.673617379884035e-19,NA
2021-05-27T00:00:00Z,0,22.1,-595.0239074538941,8.673617379884035e-19,NA
2021-05-27T00:15:00Z,0,22.1,-595.0239074538941,8.673617379884035e-19,NA
2021-05-27T00:30:00Z,0,22.09,-595.0239074538941,4.336808689942018e-19,NA
2021-05-27T00:45:00Z,0,22.13,-595.0239074538941,0,NA
2021-05-27T01:00:00Z,0,22.35,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-27T01:15:00Z,0,22.67,-595.0239074538941,4.336808689942018e-19,NA
2021-05-27T01:30:00Z,0,22.79,-595.0239074538941,8.673617379884035e-19,NA
2021-05-27T01:45:00Z,0,22.82,-595.0239074538941,-4.336808689942018e-19,NA
2021-05-27T02:00:00Z,0,22.79,-595.0239074538941,8.673617379884035e-19,NA
2021-05-27T02:15:00Z,0,22.77,-595.0239074538941,4.336808689942018e-19,NA
2021-05-27T02:30:00Z,0,22.73,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-27T02:45:00Z,0,22.7,-595.0239074538941,0,NA
2021-05-27T03:00:00Z,0,22.77,-595.0239074538941,4.336808689942018e-19,NA
2021-05-27T03:15:00Z,0,22.77,-595.0239074538941,4.336808689942018e-19,NA
2021-05-27T03:30:00Z,0,22.73,-595.0239074538941,-8.673617379884035e-19,NA
2021-05-27T03:45:00Z,0,22.67,-595.0239074538941,4.336808689942018e-19,NA
