Site Name ,LIZ E - SA
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14727


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

147,22/07/2021 , 02:45:00,0,0
148,22/07/2021 , 03:00:00,0,0
149,22/07/2021 , 03:15:00,0,0
150,22/07/2021 , 03:30:00,0,0
151,22/07/2021 , 03:45:00,0,0
152,22/07/2021 , 04:00:00,0,0
153,22/07/2021 , 04:15:00,0,0
154,22/07/2021 , 04:30:00,0,0
155,22/07/2021 , 04:45:00,0,0
156,22/07/2021 , 05:00:00,0,0
157,22/07/2021 , 05:15:00,0,0
158,22/07/2021 , 05:30:00,4,4
159,22/07/2021 , 05:45:00,18,18
160,22/07/2021 , 06:00:00,44,44
161,22/07/2021 , 06:15:00,74,74
162,22/07/2021 , 06:30:00,97,97
163,22/07/2021 , 06:45:00,124,124
164,22/07/2021 , 07:00:00,187,187
165,22/07/2021 , 07:15:00,227,227
166,22/07/2021 , 07:30:00,255,255
167,22/07/2021 , 07:45:00,264,264
168,22/07/2021 , 08:00:00,262,262
169,22/07/2021 , 08:15:00,276,276
170,22/07/2021 , 08:30:00,279,279
171,22/07/2021 , 08:45:00,4342,4342
172,22/07/2021 , 09:00:00,4589,4589
173,22/07/2021 , 09:15:00,20479,20479
174,22/07/2021 , 09:30:00,22091,22091
175,22/07/2021 , 09:45:00,11879,11879
176,22/07/2021 , 10:00:00,26991,26991
177,22/07/2021 , 10:15:00,29442,29442
178,22/07/2021 , 10:30:00,31919,31919
179,22/07/2021 , 10:45:00,25621,25621
180,22/07/2021 , 11:00:00,33700,33700
181,22/07/2021 , 11:15:00,36045,36045
182,22/07/2021 , 11:30:00,37658,37658
183,22/07/2021 , 11:45:00,38891,38891
184,22/07/2021 , 12:00:00,39272,39272
185,22/07/2021 , 12:15:00,40703,40703
186,22/07/2021 , 12:30:00,41539,41539
187,22/07/2021 , 12:45:00,22521,22521
188,22/07/2021 , 13:00:00,17832,17832
189,22/07/2021 , 13:15:00,14599,14599
190,22/07/2021 , 13:30:00,12073,12073
191,22/07/2021 , 13:45:00,10226,10226
192,22/07/2021 , 14:00:00,8700,8700
193,22/07/2021 , 14:15:00,8416,8416
194,22/07/2021 , 14:30:00,8026,8026
195,22/07/2021 , 14:45:00,8201,8201
196,22/07/2021 , 15:00:00,7791,7791
197,22/07/2021 , 15:15:00,6858,6858
198,22/07/2021 , 15:30:00,6096,6096
199,22/07/2021 , 15:45:00,5357,5357
200,22/07/2021 , 16:00:00,4896,4896
201,22/07/2021 , 16:15:00,4370,4370
202,22/07/2021 , 16:30:00,3908,3908
203,22/07/2021 , 16:45:00,3500,3500
204,22/07/2021 , 17:00:00,3151,3151
205,22/07/2021 , 17:15:00,2796,2796
206,22/07/2021 , 17:30:00,2484,2484
207,22/07/2021 , 17:45:00,2205,2205
208,22/07/2021 , 18:00:00,1862,1862
209,22/07/2021 , 18:15:00,1441,1441
210,22/07/2021 , 18:30:00,1057,1057
211,22/07/2021 , 18:45:00,1314,1314
212,22/07/2021 , 19:00:00,1061,1061
213,22/07/2021 , 19:15:00,843,843
214,22/07/2021 , 19:30:00,614,614
215,22/07/2021 , 19:45:00,468,468
216,22/07/2021 , 20:00:00,383,383
217,22/07/2021 , 20:15:00,303,303
218,22/07/2021 , 20:30:00,202,202
219,22/07/2021 , 20:45:00,96,96
220,22/07/2021 , 21:00:00,36,36
221,22/07/2021 , 21:15:00,9,9
222,22/07/2021 , 21:30:00,1,1
223,22/07/2021 , 21:45:00,0,0
224,22/07/2021 , 22:00:00,0,0
225,22/07/2021 , 22:15:00,0,0
226,22/07/2021 , 22:30:00,0,0
227,22/07/2021 , 22:45:00,0,0
228,22/07/2021 , 23:00:00,0,0
229,22/07/2021 , 23:15:00,0,0
230,22/07/2021 , 23:30:00,0,0
231,22/07/2021 , 23:45:00,0,0
232,22/07/2021 , 24:00:00,0,0
233,23/07/2021 , 00:15:00,0,0
234,23/07/2021 , 00:30:00,0,0
235,23/07/2021 , 00:45:00,0,0
236,23/07/2021 , 01:00:00,0,0
237,23/07/2021 , 01:15:00,0,0
238,23/07/2021 , 01:30:00,0,0
239,23/07/2021 , 01:45:00,0,0
240,23/07/2021 , 02:00:00,0,0
241,23/07/2021 , 02:15:00,0,0
242,23/07/2021 , 02:30:00,0,0
243,23/07/2021 , 02:45:00,0,0
244,23/07/2021 , 03:00:00,0,0
245,23/07/2021 , 03:15:00,0,0
246,23/07/2021 , 03:30:00,0,0
247,23/07/2021 , 03:45:00,0,0
248,23/07/2021 , 04:00:00,0,0
249,23/07/2021 , 04:15:00,0,0
250,23/07/2021 , 04:30:00,0,0
251,23/07/2021 , 04:45:00,0,0
252,23/07/2021 , 05:00:00,0,0
253,23/07/2021 , 05:15:00,0,0
254,23/07/2021 , 05:30:00,2,2
255,23/07/2021 , 05:45:00,19,19
256,23/07/2021 , 06:00:00,58,58
257,23/07/2021 , 06:15:00,119,119
258,23/07/2021 , 06:30:00,169,169
259,23/07/2021 , 06:45:00,261,261
260,23/07/2021 , 07:00:00,379,379
261,23/07/2021 , 07:15:00,505,505
262,23/07/2021 , 07:30:00,538,538
263,23/07/2021 , 07:45:00,741,741
264,23/07/2021 , 08:00:00,1091,1091
265,23/07/2021 , 08:15:00,1303,1303
266,23/07/2021 , 08:30:00,1203,1203
267,23/07/2021 , 08:45:00,2145,2145
268,23/07/2021 , 09:00:00,3868,3868
269,23/07/2021 , 09:15:00,4016,4016
270,23/07/2021 , 09:30:00,6854,6854
271,23/07/2021 , 09:45:00,9188,9188
272,23/07/2021 , 10:00:00,9726,9726
273,23/07/2021 , 10:15:00,12878,12878
274,23/07/2021 , 10:30:00,22102,22102
275,23/07/2021 , 10:45:00,20482,20482
276,23/07/2021 , 11:00:00,24437,24437
277,23/07/2021 , 11:15:00,35767,35767
278,23/07/2021 , 11:30:00,36083,36083
279,23/07/2021 , 11:45:00,37153,37153
280,23/07/2021 , 12:00:00,38136,38136
281,23/07/2021 , 12:15:00,38195,38195
282,23/07/2021 , 12:30:00,39011,39011
283,23/07/2021 , 12:45:00,39900,39900
284,23/07/2021 , 13:00:00,40247,40247
285,23/07/2021 , 13:15:00,40099,40099
286,23/07/2021 , 13:30:00,38778,38778
287,23/07/2021 , 13:45:00,18274,18274
288,23/07/2021 , 14:00:00,15686,15686
289,23/07/2021 , 14:15:00,13245,13245
290,23/07/2021 , 14:30:00,10999,10999
291,23/07/2021 , 14:45:00,9227,9227
292,23/07/2021 , 15:00:00,8120,8120
293,23/07/2021 , 15:15:00,7291,7291
294,23/07/2021 , 15:30:00,6362,6362
295,23/07/2021 , 15:45:00,6062,6062
296,23/07/2021 , 16:00:00,5263,5263
297,23/07/2021 , 16:15:00,4506,4506
298,23/07/2021 , 16:30:00,4023,4023
299,23/07/2021 , 16:45:00,3775,3775
300,23/07/2021 , 17:00:00,3380,3380
301,23/07/2021 , 17:15:00,2835,2835
302,23/07/2021 , 17:30:00,2529,2529
303,23/07/2021 , 17:45:00,2121,2121
304,23/07/2021 , 18:00:00,1749,1749
305,23/07/2021 , 18:15:00,1485,1485
306,23/07/2021 , 18:30:00,1316,1316
307,23/07/2021 , 18:45:00,1100,1100
308,23/07/2021 , 19:00:00,876,876
309,23/07/2021 , 19:15:00,714,714
310,23/07/2021 , 19:30:00,547,547
311,23/07/2021 , 19:45:00,405,405
312,23/07/2021 , 20:00:00,299,299
313,23/07/2021 , 20:15:00,207,207
314,23/07/2021 , 20:30:00,137,137
315,23/07/2021 , 20:45:00,79,79
316,23/07/2021 , 21:00:00,33,33
317,23/07/2021 , 21:15:00,9,9
318,23/07/2021 , 21:30:00,0,0
319,23/07/2021 , 21:45:00,0,0
320,23/07/2021 , 22:00:00,0,0
321,23/07/2021 , 22:15:00,0,0
322,23/07/2021 , 22:30:00,0,0
323,23/07/2021 , 22:45:00,0,0
324,23/07/2021 , 23:00:00,0,0
325,23/07/2021 , 23:15:00,0,0
326,23/07/2021 , 23:30:00,0,0
327,23/07/2021 , 23:45:00,0,0
328,23/07/2021 , 24:00:00,0,0
329,24/07/2021 , 00:15:00,0,0
330,24/07/2021 , 00:30:00,0,0
331,24/07/2021 , 00:45:00,0,0
332,24/07/2021 , 01:00:00,0,0
333,24/07/2021 , 01:15:00,0,0
334,24/07/2021 , 01:30:00,0,0
335,24/07/2021 , 01:45:00,0,0
336,24/07/2021 , 02:00:00,0,0
337,24/07/2021 , 02:15:00,0,0
338,24/07/2021 , 02:30:00,0,0
339,24/07/2021 , 02:45:00,0,0
340,24/07/2021 , 03:00:00,0,0
341,24/07/2021 , 03:15:00,0,0
342,24/07/2021 , 03:30:00,0,0
343,24/07/2021 , 03:45:00,0,0
344,24/07/2021 , 04:00:00,0,0
345,24/07/2021 , 04:15:00,0,0
346,24/07/2021 , 04:30:00,0,0
347,24/07/2021 , 04:45:00,0,0
348,24/07/2021 , 05:00:00,0,0
349,24/07/2021 , 05:15:00,0,0
350,24/07/2021 , 05:30:00,4,4
351,24/07/2021 , 05:45:00,27,27
352,24/07/2021 , 06:00:00,71,71
353,24/07/2021 , 06:15:00,118,118
354,24/07/2021 , 06:30:00,184,184
355,24/07/2021 , 06:45:00,252,252
356,24/07/2021 , 07:00:00,394,394
357,24/07/2021 , 07:15:00,569,569
358,24/07/2021 , 07:30:00,857,857
359,24/07/2021 , 07:45:00,1125,1125
360,24/07/2021 , 08:00:00,1548,1548
361,24/07/2021 , 08:15:00,2056,2056
362,24/07/2021 , 08:30:00,2719,2719
363,24/07/2021 , 08:45:00,3177,3177
364,24/07/2021 , 09:00:00,4323,4323
365,24/07/2021 , 09:15:00,4171,4171
366,24/07/2021 , 09:30:00,5394,5394
367,24/07/2021 , 09:45:00,824,824
368,24/07/2021 , 10:00:00,1016,1016
369,24/07/2021 , 10:15:00,1323,1323
370,24/07/2021 , 10:30:00,1177,1177
371,24/07/2021 , 10:45:00,1532,1532
372,24/07/2021 , 11:00:00,4263,4263
373,24/07/2021 , 11:15:00,5157,5157
374,24/07/2021 , 11:30:00,4601,4601
375,24/07/2021 , 11:45:00,4207,4207
376,24/07/2021 , 12:00:00,2324,2324
377,24/07/2021 , 12:15:00,734,734
378,24/07/2021 , 12:30:00,541,541
