Date,Time,Intensity (Lux) c:2
07/22/21,08:30:00,24800.2
07/22/21,08:45:00,46844.8
07/22/21,09:00:00,88178.4
07/22/21,09:15:00,99200.7
07/22/21,09:30:00,104711.8
07/22/21,09:45:00,115734.1
07/22/21,10:00:00,121245.2
07/22/21,10:15:00,132267.5
07/22/21,10:30:00,137778.7
07/22/21,10:45:00,148801.0
07/22/21,11:00:00,154312.1
07/22/21,11:15:00,159823.3
07/22/21,11:30:00,165334.4
07/22/21,11:45:00,170845.6
07/22/21,12:00:00,176356.7
07/22/21,12:15:00,176356.7
07/22/21,12:30:00,176356.7
07/22/21,12:45:00,187379.0
07/22/21,13:00:00,110223.0
07/22/21,13:15:00,99200.7
07/22/21,13:30:00,63378.2
07/22/21,13:45:00,34444.7
07/22/21,14:00:00,55111.5
07/22/21,14:15:00,33066.9
07/22/21,14:30:00,38578.0
07/22/21,14:45:00,27555.7
07/22/21,15:00:00,26178.0
07/22/21,15:15:00,19289.0
07/22/21,15:30:00,17911.2
07/22/21,15:45:00,17911.2
07/22/21,16:00:00,15844.5
07/22/21,16:15:00,13777.9
07/22/21,16:30:00,10677.8
07/22/21,16:45:00,3961.1
07/22/21,17:00:00,8266.7
07/22/21,17:15:00,6544.5
07/22/21,17:30:00,5511.1
07/22/21,17:45:00,4822.3
07/22/21,18:00:00,5338.9
07/22/21,18:15:00,4133.4
07/22/21,18:30:00,4305.6
07/22/21,18:45:00,3616.7
07/22/21,19:00:00,2755.6
07/22/21,19:15:00,2238.9
07/22/21,19:30:00,1722.2
07/22/21,19:45:00,1065.6
07/22/21,20:00:00,1022.6
07/22/21,20:15:00,742.7
07/22/21,20:30:00,398.3
07/22/21,20:45:00,161.5
07/22/21,21:00:00,43.1
07/22/21,21:15:00,0.0
07/22/21,21:30:00,0.0
07/22/21,21:45:00,0.0
07/22/21,22:00:00,0.0
07/22/21,22:15:00,0.0
07/22/21,22:30:00,0.0
07/22/21,22:45:00,0.0
07/22/21,23:00:00,0.0
07/22/21,23:15:00,0.0
07/22/21,23:30:00,0.0
07/22/21,23:45:00,0.0
07/23/21,00:00:00,0.0
07/23/21,00:15:00,0.0
07/23/21,00:30:00,0.0
07/23/21,00:45:00,0.0
07/23/21,01:00:00,0.0
07/23/21,01:15:00,0.0
07/23/21,01:30:00,0.0
07/23/21,01:45:00,0.0
07/23/21,02:00:00,0.0
07/23/21,02:15:00,0.0
07/23/21,02:30:00,0.0
07/23/21,02:45:00,0.0
07/23/21,03:00:00,0.0
07/23/21,03:15:00,0.0
07/23/21,03:30:00,0.0
07/23/21,03:45:00,0.0
07/23/21,04:00:00,0.0
07/23/21,04:15:00,0.0
07/23/21,04:30:00,0.0
07/23/21,04:45:00,0.0
07/23/21,05:00:00,0.0
07/23/21,05:15:00,0.0
07/23/21,05:30:00,32.3
07/23/21,05:45:00,129.2
07/23/21,06:00:00,279.9
07/23/21,06:15:00,645.8
07/23/21,06:30:00,925.7
07/23/21,06:45:00,1119.5
07/23/21,07:00:00,1463.9
07/23/21,07:15:00,1980.6
07/23/21,07:30:00,1550.0
07/23/21,07:45:00,2238.9
07/23/21,08:00:00,5338.9
07/23/21,08:15:00,5511.1
07/23/21,08:30:00,5511.1
07/23/21,08:45:00,8266.7
07/23/21,09:00:00,24800.2
07/23/21,09:15:00,49600.3
07/23/21,09:30:00,104711.8
07/23/21,09:45:00,115734.1
07/23/21,10:00:00,99200.7
07/23/21,10:15:00,121245.2
07/23/21,10:30:00,93689.5
07/23/21,10:45:00,126756.4
07/23/21,11:00:00,132267.5
07/23/21,11:15:00,143289.8
07/23/21,11:30:00,148801.0
07/23/21,11:45:00,154312.1
07/23/21,12:00:00,154312.1
07/23/21,12:15:00,159823.3
07/23/21,12:30:00,165334.4
07/23/21,12:45:00,170845.6
07/23/21,13:00:00,176356.7
07/23/21,13:15:00,170845.6
07/23/21,13:30:00,176356.7
07/23/21,13:45:00,176356.7
07/23/21,14:00:00,88178.4
07/23/21,14:15:00,55111.5
07/23/21,14:30:00,63378.2
07/23/21,14:45:00,37200.2
07/23/21,15:00:00,34444.7
07/23/21,15:15:00,23422.4
07/23/21,15:30:00,26178.0
07/23/21,15:45:00,22044.6
07/23/21,16:00:00,14466.8
07/23/21,16:15:00,14466.8
07/23/21,16:30:00,11711.2
07/23/21,16:45:00,10677.8
07/23/21,17:00:00,8611.2
07/23/21,17:15:00,7577.8
07/23/21,17:30:00,6544.5
07/23/21,17:45:00,5166.7
07/23/21,18:00:00,4822.3
07/23/21,18:15:00,4133.4
07/23/21,18:30:00,2755.6
07/23/21,18:45:00,2411.1
07/23/21,19:00:00,1894.5
07/23/21,19:15:00,1722.2
07/23/21,19:30:00,1550.0
07/23/21,19:45:00,1151.7
07/23/21,20:00:00,796.5
07/23/21,20:15:00,538.2
07/23/21,20:30:00,236.8
07/23/21,20:45:00,75.3
07/23/21,21:00:00,43.1
07/23/21,21:15:00,0.0
07/23/21,21:30:00,0.0
07/23/21,21:45:00,0.0
07/23/21,22:00:00,0.0
07/23/21,22:15:00,0.0
07/23/21,22:30:00,0.0
07/23/21,22:45:00,0.0
07/23/21,23:00:00,0.0
07/23/21,23:15:00,0.0
07/23/21,23:30:00,0.0
07/23/21,23:45:00,0.0
07/24/21,00:00:00,0.0
07/24/21,00:15:00,0.0
07/24/21,00:30:00,0.0
07/24/21,00:45:00,0.0
07/24/21,01:00:00,0.0
07/24/21,01:15:00,0.0
07/24/21,01:30:00,0.0
07/24/21,01:45:00,0.0
07/24/21,02:00:00,0.0
07/24/21,02:15:00,0.0
07/24/21,02:30:00,0.0
07/24/21,02:45:00,0.0
07/24/21,03:00:00,0.0
07/24/21,03:15:00,0.0
07/24/21,03:30:00,0.0
07/24/21,03:45:00,0.0
07/24/21,04:00:00,0.0
07/24/21,04:15:00,0.0
07/24/21,04:30:00,0.0
07/24/21,04:45:00,0.0
07/24/21,05:00:00,0.0
07/24/21,05:15:00,0.0
07/24/21,05:30:00,21.5
07/24/21,05:45:00,118.4
07/24/21,06:00:00,269.1
07/24/21,06:15:00,505.9
07/24/21,06:30:00,818.1
07/24/21,06:45:00,1248.6
07/24/21,07:00:00,1808.3
07/24/21,07:15:00,2497.2
07/24/21,07:30:00,3100.0
07/24/21,07:45:00,3616.7
07/24/21,08:00:00,4822.3
07/24/21,08:15:00,6200.0
07/24/21,08:30:00,6544.5
07/24/21,08:45:00,9644.5
07/24/21,09:00:00,15844.5
07/24/21,09:15:00,23422.4
07/24/21,09:30:00,30311.3
07/24/21,09:45:00,41333.6
07/24/21,10:00:00,63378.2
07/24/21,10:15:00,20666.8
07/24/21,10:30:00,30311.3
07/24/21,10:45:00,132267.5
07/24/21,11:00:00,137778.7
07/24/21,11:15:00,143289.8
07/24/21,11:30:00,148801.0
07/24/21,11:45:00,154312.1
07/24/21,12:00:00,154312.1
07/24/21,12:15:00,159823.3
07/24/21,12:30:00,165334.4
07/24/21,12:45:00,170845.6
07/24/21,13:00:00,170845.6
07/24/21,13:15:00,176356.7
07/24/21,13:30:00,176356.7
07/24/21,13:45:00,176356.7
07/24/21,14:00:00,176356.7
07/24/21,14:15:00,176356.7
07/24/21,14:30:00,143289.8
07/24/21,14:45:00,77156.1
07/24/21,15:00:00,41333.6
07/24/21,15:15:00,26178.0
07/24/21,15:30:00,49600.3
07/24/21,15:45:00,31689.1
07/24/21,16:00:00,4305.6
07/24/21,16:15:00,20666.8
07/24/21,16:30:00,17222.3
07/24/21,16:45:00,11711.2
07/24/21,17:00:00,9644.5
07/24/21,17:15:00,8266.7
07/24/21,17:30:00,6200.0
07/24/21,17:45:00,5166.7
07/24/21,18:00:00,5166.7
07/24/21,18:15:00,3961.1
07/24/21,18:30:00,3100.0
07/24/21,18:45:00,2497.2
07/24/21,19:00:00,2325.0
07/24/21,19:15:00,1808.3
07/24/21,19:30:00,1463.9
07/24/21,19:45:00,990.3
07/24/21,20:00:00,731.9
07/24/21,20:15:00,516.7
07/24/21,20:30:00,290.6
07/24/21,20:45:00,139.9
07/24/21,21:00:00,43.1
07/24/21,21:15:00,0.0
07/24/21,21:30:00,0.0
07/24/21,21:45:00,0.0
07/24/21,22:00:00,0.0
07/24/21,22:15:00,0.0
07/24/21,22:30:00,0.0
07/24/21,22:45:00,0.0
07/24/21,23:00:00,0.0
07/24/21,23:15:00,0.0
07/24/21,23:30:00,0.0
07/24/21,23:45:00,0.0
07/25/21,00:00:00,0.0
07/25/21,00:15:00,0.0
07/25/21,00:30:00,0.0
07/25/21,00:45:00,0.0
07/25/21,01:00:00,0.0
07/25/21,01:15:00,0.0
07/25/21,01:30:00,0.0
07/25/21,01:45:00,0.0
07/25/21,02:00:00,0.0
07/25/21,02:15:00,0.0
07/25/21,02:30:00,0.0
07/25/21,02:45:00,0.0
07/25/21,03:00:00,0.0
07/25/21,03:15:00,0.0
07/25/21,03:30:00,0.0
07/25/21,03:45:00,0.0
07/25/21,04:00:00,0.0
07/25/21,04:15:00,0.0
07/25/21,04:30:00,0.0
07/25/21,04:45:00,0.0
07/25/21,05:00:00,0.0
07/25/21,05:15:00,0.0
07/25/21,05:30:00,21.5
07/25/21,05:45:00,86.1
07/25/21,06:00:00,215.3
07/25/21,06:15:00,376.7
07/25/21,06:30:00,624.3
07/25/21,06:45:00,785.8
07/25/21,07:00:00,1130.2
07/25/21,07:15:00,1463.9
07/25/21,07:30:00,602.8
07/25/21,07:45:00,2066.7
07/25/21,08:00:00,3272.2
07/25/21,08:15:00,4305.6
07/25/21,08:30:00,4994.5
07/25/21,08:45:00,5511.1
07/25/21,09:00:00,10333.4
07/25/21,09:15:00,10333.4
07/25/21,09:30:00,13089.0
07/25/21,09:45:00,22044.6
07/25/21,10:00:00,33066.9
07/25/21,10:15:00,26178.0
07/25/21,10:30:00,55111.5
07/25/21,10:45:00,52355.9
07/25/21,11:00:00,99200.7
07/25/21,11:15:00,159823.3
07/25/21,11:30:00,154312.1
07/25/21,11:45:00,165334.4
07/25/21,12:00:00,170845.6
07/25/21,12:15:00,170845.6
07/25/21,12:30:00,176356.7
07/25/21,12:45:00,176356.7
07/25/21,13:00:00,176356.7
07/25/21,13:15:00,187379.0
07/25/21,13:30:00,187379.0
07/25/21,13:45:00,187379.0
07/25/21,14:00:00,187379.0
07/25/21,14:15:00,187379.0
07/25/21,14:30:00,187379.0
07/25/21,14:45:00,176356.7
07/25/21,15:00:00,165334.4
07/25/21,15:15:00,82667.2
07/25/21,15:30:00,55111.5
07/25/21,15:45:00,49600.3
07/25/21,16:00:00,24800.2
07/25/21,16:15:00,26178.0
07/25/21,16:30:00,22044.6
07/25/21,16:45:00,14466.8
07/25/21,17:00:00,818.1
07/25/21,17:15:00,355.2
07/25/21,17:30:00,409.0
07/25/21,17:45:00,183.0
07/25/21,18:00:00,129.2
07/25/21,18:15:00,107.6
07/25/21,18:30:00,86.1
07/25/21,18:45:00,96.9
07/25/21,19:00:00,96.9
07/25/21,19:15:00,96.9
07/25/21,19:30:00,107.6
07/25/21,19:45:00,75.3
07/25/21,20:00:00,53.8
07/25/21,20:15:00,43.1
07/25/21,20:30:00,21.5
07/25/21,20:45:00,10.8
07/25/21,21:00:00,0.0
07/25/21,21:15:00,0.0
07/25/21,21:30:00,0.0
07/25/21,21:45:00,0.0
07/25/21,22:00:00,0.0
07/25/21,22:15:00,0.0
07/25/21,22:30:00,0.0
07/25/21,22:45:00,0.0
07/25/21,23:00:00,0.0
07/25/21,23:15:00,0.0
07/25/21,23:30:00,0.0
07/25/21,23:45:00,0.0
07/26/21,00:00:00,0.0
07/26/21,00:15:00,0.0
07/26/21,00:30:00,0.0
07/26/21,00:45:00,0.0
07/26/21,01:00:00,0.0
07/26/21,01:15:00,0.0
07/26/21,01:30:00,0.0
07/26/21,01:45:00,0.0
07/26/21,02:00:00,0.0
07/26/21,02:15:00,0.0
07/26/21,02:30:00,0.0
07/26/21,02:45:00,0.0
07/26/21,03:00:00,0.0
07/26/21,03:15:00,0.0
07/26/21,03:30:00,0.0
07/26/21,03:45:00,0.0
07/26/21,04:00:00,0.0
07/26/21,04:15:00,0.0
07/26/21,04:30:00,0.0
07/26/21,04:45:00,0.0
07/26/21,05:00:00,0.0
07/26/21,05:15:00,0.0
07/26/21,05:30:00,21.5
07/26/21,05:45:00,96.9
07/26/21,06:00:00,193.8
07/26/21,06:15:00,430.6
07/26/21,06:30:00,731.9
07/26/21,06:45:00,968.8
07/26/21,07:00:00,1345.5
07/26/21,07:15:00,1636.1
07/26/21,07:30:00,2238.9
07/26/21,07:45:00,2411.1
07/26/21,08:00:00,2755.6
07/26/21,08:15:00,4650.0
07/26/21,08:30:00,4305.6
07/26/21,08:45:00,5338.9
07/26/21,09:00:00,4477.8
07/26/21,09:15:00,10333.4
07/26/21,09:30:00,8266.7
07/26/21,09:45:00,13777.9
07/26/21,10:00:00,19289.0
07/26/21,10:15:00,20666.8
07/26/21,10:30:00,27555.7
07/26/21,10:45:00,33066.9
07/26/21,11:00:00,41333.6
07/26/21,11:15:00,74400.5
07/26/21,11:30:00,49600.3
07/26/21,11:45:00,88178.4
07/26/21,12:00:00,55111.5
07/26/21,12:15:00,165334.4
07/26/21,12:30:00,170845.6
07/26/21,12:45:00,176356.7
07/26/21,13:00:00,176356.7
07/26/21,13:15:00,176356.7
07/26/21,13:30:00,176356.7
07/26/21,13:45:00,187379.0
07/26/21,14:00:00,187379.0
07/26/21,14:15:00,187379.0
07/26/21,14:30:00,187379.0
07/26/21,14:45:00,176356.7
07/26/21,15:00:00,176356.7
07/26/21,15:15:00,176356.7
07/26/21,15:30:00,57867.0
07/26/21,15:45:00,28933.5
07/26/21,16:00:00,30311.3
07/26/21,16:15:00,20666.8
07/26/21,16:30:00,19977.9
07/26/21,16:45:00,9644.5
07/26/21,17:00:00,4133.4
07/26/21,17:15:00,11022.3
07/26/21,17:30:00,11022.3
07/26/21,17:45:00,9300.1
07/26/21,18:00:00,7233.4
07/26/21,18:15:00,5166.7
07/26/21,18:30:00,3100.0
07/26/21,18:45:00,3616.7
07/26/21,19:00:00,2497.2
07/26/21,19:15:00,1894.5
07/26/21,19:30:00,1377.8
07/26/21,19:45:00,1087.2
07/26/21,20:00:00,775.0
07/26/21,20:15:00,527.4
07/26/21,20:30:00,290.6
07/26/21,20:45:00,129.2
07/26/21,21:00:00,32.3
07/26/21,21:15:00,0.0
07/26/21,21:30:00,0.0
07/26/21,21:45:00,0.0
07/26/21,22:00:00,0.0
07/26/21,22:15:00,0.0
07/26/21,22:30:00,0.0
07/26/21,22:45:00,0.0
07/26/21,23:00:00,0.0
07/26/21,23:15:00,0.0
07/26/21,23:30:00,0.0
07/26/21,23:45:00,0.0
07/27/21,00:00:00,0.0
07/27/21,00:15:00,0.0
07/27/21,00:30:00,0.0
07/27/21,00:45:00,0.0
07/27/21,01:00:00,0.0
07/27/21,01:15:00,0.0
07/27/21,01:30:00,0.0
07/27/21,01:45:00,0.0
07/27/21,02:00:00,0.0
07/27/21,02:15:00,0.0
07/27/21,02:30:00,0.0
07/27/21,02:45:00,0.0
07/27/21,03:00:00,0.0
07/27/21,03:15:00,0.0
07/27/21,03:30:00,0.0
07/27/21,03:45:00,0.0
07/27/21,04:00:00,0.0
07/27/21,04:15:00,0.0
07/27/21,04:30:00,0.0
07/27/21,04:45:00,0.0
07/27/21,05:00:00,0.0
07/27/21,05:15:00,0.0
07/27/21,05:30:00,10.8
07/27/21,05:45:00,64.6
07/27/21,06:00:00,183.0
07/27/21,06:15:00,376.7
07/27/21,06:30:00,602.8
07/27/21,06:45:00,785.8
07/27/21,07:00:00,1119.5
07/27/21,07:15:00,1367.0
07/27/21,07:30:00,1722.2
07/27/21,07:45:00,2152.8
07/27/21,08:00:00,2325.0
07/27/21,08:15:00,3961.1
07/27/21,08:30:00,6200.0
07/27/21,08:45:00,7577.8
07/27/21,09:00:00,7577.8
07/27/21,09:15:00,5511.1
07/27/21,09:30:00,5166.7
07/27/21,09:45:00,10333.4
07/27/21,10:00:00,12400.1
07/27/21,10:15:00,15155.7
07/27/21,10:30:00,17911.2
07/27/21,10:45:00,18600.1
07/27/21,11:00:00,23422.4
07/27/21,11:15:00,30311.3
07/27/21,11:30:00,37200.2
07/27/21,11:45:00,44089.2
07/27/21,12:00:00,52355.9
07/27/21,12:15:00,60622.6
07/27/21,12:30:00,68889.3
07/27/21,12:45:00,88178.4
07/27/21,13:00:00,88178.4
07/27/21,13:15:00,159823.3
07/27/21,13:30:00,176356.7
07/27/21,13:45:00,187379.0
