Date,Time,Abs Pres (kPa) c:1 2
07/22/21,09:15:00,102.256
07/22/21,09:30:00,102.261
07/22/21,09:45:00,102.270
07/22/21,10:00:00,102.248
07/22/21,10:15:00,102.229
07/22/21,10:30:00,102.249
07/22/21,10:45:00,102.278
07/22/21,11:00:00,102.294
07/22/21,11:15:00,102.299
07/22/21,11:30:00,102.309
07/22/21,11:45:00,102.313
07/22/21,12:00:00,102.311
07/22/21,12:15:00,102.292
07/22/21,12:30:00,103.612
07/22/21,12:45:00,105.840
07/22/21,13:00:00,107.704
07/22/21,13:15:00,109.495
07/22/21,13:30:00,111.171
07/22/21,13:45:00,112.847
07/22/21,14:00:00,114.424
07/22/21,14:15:00,116.002
07/22/21,14:30:00,117.493
07/22/21,14:45:00,119.018
07/22/21,15:00:00,120.461
07/22/21,15:15:00,121.946
07/22/21,15:30:00,123.418
07/22/21,15:45:00,124.960
07/22/21,16:00:00,126.411
07/22/21,16:15:00,127.746
07/22/21,16:30:00,129.020
07/22/21,16:45:00,130.069
07/22/21,17:00:00,131.129
07/22/21,17:15:00,131.989
07/22/21,17:30:00,132.407
07/22/21,17:45:00,132.809
07/22/21,18:00:00,132.948
07/22/21,18:15:00,132.824
07/22/21,18:30:00,132.778
07/22/21,18:45:00,132.643
07/22/21,19:00:00,132.535
07/22/21,19:15:00,132.334
07/22/21,19:30:00,132.206
07/22/21,19:45:00,131.897
07/22/21,20:00:00,131.592
07/22/21,20:15:00,131.237
07/22/21,20:30:00,130.897
07/22/21,20:45:00,130.357
07/22/21,21:00:00,130.007
07/22/21,21:15:00,129.606
07/22/21,21:30:00,129.174
07/22/21,21:45:00,129.055
07/22/21,22:00:00,128.824
07/22/21,22:15:00,128.716
07/22/21,22:30:00,128.701
07/22/21,22:45:00,128.639
07/22/21,23:00:00,128.763
07/22/21,23:15:00,128.855
07/22/21,23:30:00,128.932
07/22/21,23:45:00,129.091
07/23/21,00:00:00,129.338
07/23/21,00:15:00,129.589
07/23/21,00:30:00,129.757
07/23/21,00:45:00,130.086
07/23/21,01:00:00,130.373
07/23/21,01:15:00,130.717
07/23/21,01:30:00,131.185
07/23/21,01:45:00,131.649
07/23/21,02:00:00,132.040
07/23/21,02:15:00,132.318
07/23/21,02:30:00,132.462
07/23/21,02:45:00,132.529
07/23/21,03:00:00,132.507
07/23/21,03:15:00,132.331
07/23/21,03:30:00,132.031
07/23/21,03:45:00,131.638
07/23/21,04:00:00,131.210
07/23/21,04:15:00,130.658
07/23/21,04:30:00,129.974
07/23/21,04:45:00,129.218
07/23/21,05:00:00,128.266
07/23/21,05:15:00,127.458
07/23/21,05:30:00,126.470
07/23/21,05:45:00,125.164
07/23/21,06:00:00,124.096
07/23/21,06:15:00,122.802
07/23/21,06:30:00,121.494
07/23/21,06:45:00,120.107
07/23/21,07:00:00,118.627
07/23/21,07:15:00,117.145
07/23/21,07:30:00,115.615
07/23/21,07:45:00,113.946
07/23/21,08:00:00,112.358
07/23/21,08:15:00,110.860
07/23/21,08:30:00,109.515
07/23/21,08:45:00,108.184
07/23/21,09:00:00,106.975
07/23/21,09:15:00,105.961
07/23/21,09:30:00,105.053
07/23/21,09:45:00,104.291
07/23/21,10:00:00,103.657
07/23/21,10:15:00,103.113
07/23/21,10:30:00,102.647
07/23/21,10:45:00,102.604
07/23/21,11:00:00,102.607
07/23/21,11:15:00,102.600
07/23/21,11:30:00,102.608
07/23/21,11:45:00,102.633
07/23/21,12:00:00,102.619
07/23/21,12:15:00,102.628
07/23/21,12:30:00,102.618
07/23/21,12:45:00,102.627
07/23/21,13:00:00,102.619
07/23/21,13:15:00,102.611
07/23/21,13:30:00,104.138
07/23/21,13:45:00,106.573
07/23/21,14:00:00,108.582
07/23/21,14:15:00,110.419
07/23/21,14:30:00,112.167
07/23/21,14:45:00,113.928
07/23/21,15:00:00,115.640
07/23/21,15:15:00,117.333
07/23/21,15:30:00,118.963
07/23/21,15:45:00,120.518
07/23/21,16:00:00,122.122
07/23/21,16:15:00,123.837
07/23/21,16:30:00,125.306
07/23/21,16:45:00,126.984
07/23/21,17:00:00,128.360
07/23/21,17:15:00,129.650
07/23/21,17:30:00,130.812
07/23/21,17:45:00,131.851
07/23/21,18:00:00,132.578
07/23/21,18:15:00,133.077
07/23/21,18:30:00,133.232
07/23/21,18:45:00,133.108
07/23/21,19:00:00,133.139
07/23/21,19:15:00,132.938
07/23/21,19:30:00,132.784
07/23/21,19:45:00,132.830
07/23/21,20:00:00,132.680
07/23/21,20:15:00,132.557
07/23/21,20:30:00,132.325
07/23/21,20:45:00,131.892
07/23/21,21:00:00,131.428
07/23/21,21:15:00,130.811
07/23/21,21:30:00,130.147
07/23/21,21:45:00,129.592
07/23/21,22:00:00,129.114
07/23/21,22:15:00,128.651
07/23/21,22:30:00,128.405
07/23/21,22:45:00,128.112
07/23/21,23:00:00,128.004
07/23/21,23:15:00,127.943
07/23/21,23:30:00,127.820
07/23/21,23:45:00,127.773
07/24/21,00:00:00,127.696
07/24/21,00:15:00,127.686
07/24/21,00:30:00,127.686
07/24/21,00:45:00,127.794
07/24/21,01:00:00,128.009
07/24/21,01:15:00,128.322
07/24/21,01:30:00,128.722
07/24/21,01:45:00,129.154
07/24/21,02:00:00,129.663
07/24/21,02:15:00,130.126
07/24/21,02:30:00,130.542
07/24/21,02:45:00,130.959
07/24/21,03:00:00,131.319
07/24/21,03:15:00,131.582
07/24/21,03:30:00,131.736
07/24/21,03:45:00,131.752
07/24/21,04:00:00,131.597
07/24/21,04:15:00,131.350
07/24/21,04:30:00,131.077
07/24/21,04:45:00,130.706
07/24/21,05:00:00,130.243
07/24/21,05:15:00,129.749
07/24/21,05:30:00,129.071
07/24/21,05:45:00,128.259
07/24/21,06:00:00,127.365
07/24/21,06:15:00,126.329
07/24/21,06:30:00,125.228
07/24/21,06:45:00,124.020
07/24/21,07:00:00,122.813
07/24/21,07:15:00,121.556
07/24/21,07:30:00,120.228
07/24/21,07:45:00,118.816
07/24/21,08:00:00,117.348
07/24/21,08:15:00,115.825
07/24/21,08:30:00,114.357
07/24/21,08:45:00,112.802
07/24/21,09:00:00,111.329
07/24/21,09:15:00,109.874
07/24/21,09:30:00,108.514
07/24/21,09:45:00,107.285
07/24/21,10:00:00,106.177
07/24/21,10:15:00,105.181
07/24/21,10:30:00,104.373
07/24/21,10:45:00,103.666
07/24/21,11:00:00,103.084
07/24/21,11:15:00,102.589
07/24/21,11:30:00,102.261
07/24/21,11:45:00,102.252
07/24/21,12:00:00,102.232
07/24/21,12:15:00,102.234
07/24/21,12:30:00,102.233
07/24/21,12:45:00,102.216
07/24/21,13:00:00,102.197
07/24/21,13:15:00,102.191
07/24/21,13:30:00,102.204
07/24/21,13:45:00,102.180
07/24/21,14:00:00,102.213
07/24/21,14:15:00,104.792
07/24/21,14:30:00,106.881
07/24/21,14:45:00,108.770
07/24/21,15:00:00,110.603
07/24/21,15:15:00,112.380
07/24/21,15:30:00,114.060
07/24/21,15:45:00,115.759
07/24/21,16:00:00,117.352
07/24/21,16:15:00,119.040
07/24/21,16:30:00,120.622
07/24/21,16:45:00,122.283
07/24/21,17:00:00,124.083
07/24/21,17:15:00,125.702
07/24/21,17:30:00,127.348
07/24/21,17:45:00,128.519
07/24/21,18:00:00,129.805
07/24/21,18:15:00,131.051
07/24/21,18:30:00,131.741
07/24/21,18:45:00,132.174
07/24/21,19:00:00,132.622
07/24/21,19:15:00,132.839
07/24/21,19:30:00,132.962
07/24/21,19:45:00,133.086
07/24/21,20:00:00,133.287
07/24/21,20:15:00,133.241
07/24/21,20:30:00,133.148
07/24/21,20:45:00,132.808
07/24/21,21:00:00,132.271
07/24/21,21:15:00,131.545
07/24/21,21:30:00,130.865
07/24/21,21:45:00,130.222
07/24/21,22:00:00,129.620
07/24/21,22:15:00,129.116
