Site Name ,LIZ E - BO
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14726


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

129,21/07/2021 , 22:15:00,0,0
130,21/07/2021 , 22:30:00,0,0
131,21/07/2021 , 22:45:00,0,0
132,21/07/2021 , 23:00:00,0,0
133,21/07/2021 , 23:15:00,0,0
134,21/07/2021 , 23:30:00,0,0
135,21/07/2021 , 23:45:00,0,0
136,21/07/2021 , 24:00:00,0,0
137,22/07/2021 , 00:15:00,0,0
138,22/07/2021 , 00:30:00,0,0
139,22/07/2021 , 00:45:00,0,0
140,22/07/2021 , 01:00:00,0,0
141,22/07/2021 , 01:15:00,0,0
142,22/07/2021 , 01:30:00,0,0
143,22/07/2021 , 01:45:00,0,0
144,22/07/2021 , 02:00:00,0,0
145,22/07/2021 , 02:15:00,0,0
146,22/07/2021 , 02:30:00,0,0
147,22/07/2021 , 02:45:00,0,0
148,22/07/2021 , 03:00:00,0,0
149,22/07/2021 , 03:15:00,0,0
150,22/07/2021 , 03:30:00,0,0
151,22/07/2021 , 03:45:00,0,0
152,22/07/2021 , 04:00:00,0,0
153,22/07/2021 , 04:15:00,0,0
154,22/07/2021 , 04:30:00,0,0
155,22/07/2021 , 04:45:00,0,0
156,22/07/2021 , 05:00:00,0,0
157,22/07/2021 , 05:15:00,0,0
158,22/07/2021 , 05:30:00,0,0
159,22/07/2021 , 05:45:00,0,0
160,22/07/2021 , 06:00:00,0,0
161,22/07/2021 , 06:15:00,0,0
162,22/07/2021 , 06:30:00,0,0
163,22/07/2021 , 06:45:00,0,0
164,22/07/2021 , 07:00:00,0,0
165,22/07/2021 , 07:15:00,2,2
166,22/07/2021 , 07:30:00,3,3
167,22/07/2021 , 07:45:00,3,3
168,22/07/2021 , 08:00:00,416,416
169,22/07/2021 , 08:15:00,523,523
170,22/07/2021 , 08:30:00,348,348
171,22/07/2021 , 08:45:00,335,335
172,22/07/2021 , 09:00:00,189,189
173,22/07/2021 , 09:15:00,683,683
174,22/07/2021 , 09:30:00,474,474
175,22/07/2021 , 09:45:00,1858,1858
176,22/07/2021 , 10:00:00,1278,1278
