Site Name ,LIZ E - TS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14729


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

148,22/07/2021 , 03:00:00,0,0
149,22/07/2021 , 03:15:00,0,0
150,22/07/2021 , 03:30:00,0,0
151,22/07/2021 , 03:45:00,0,0
152,22/07/2021 , 04:00:00,0,0
153,22/07/2021 , 04:15:00,0,0
154,22/07/2021 , 04:30:00,0,0
155,22/07/2021 , 04:45:00,0,0
156,22/07/2021 , 05:00:00,0,0
157,22/07/2021 , 05:15:00,0,0
158,22/07/2021 , 05:30:00,0,0
159,22/07/2021 , 05:45:00,0,0
160,22/07/2021 , 06:00:00,0,0
161,22/07/2021 , 06:15:00,1,1
162,22/07/2021 , 06:30:00,2,2
163,22/07/2021 , 06:45:00,4,4
164,22/07/2021 , 07:00:00,5,5
165,22/07/2021 , 07:15:00,6,6
166,22/07/2021 , 07:30:00,7,7
167,22/07/2021 , 07:45:00,10,10
168,22/07/2021 , 08:00:00,230,230
169,22/07/2021 , 08:15:00,1163,1163
170,22/07/2021 , 08:30:00,254,254
171,22/07/2021 , 08:45:00,176,176
172,22/07/2021 , 09:00:00,6477,6477
173,22/07/2021 , 09:15:00,4097,4097
174,22/07/2021 , 09:30:00,1067,1067
175,22/07/2021 , 09:45:00,1232,1232
176,22/07/2021 , 10:00:00,632,632
177,22/07/2021 , 10:15:00,3320,3320
178,22/07/2021 , 10:30:00,16401,16401
179,22/07/2021 , 10:45:00,33891,33891
180,22/07/2021 , 11:00:00,35988,35988
181,22/07/2021 , 11:15:00,37258,37258
182,22/07/2021 , 11:30:00,38256,38256
183,22/07/2021 , 11:45:00,24571,24571
184,22/07/2021 , 12:00:00,13622,13622
185,22/07/2021 , 12:15:00,16363,16363
186,22/07/2021 , 12:30:00,18049,18049
187,22/07/2021 , 12:45:00,15661,15661
188,22/07/2021 , 13:00:00,13037,13037
189,22/07/2021 , 13:15:00,9791,9791
190,22/07/2021 , 13:30:00,6381,6381
191,22/07/2021 , 13:45:00,9468,9468
192,22/07/2021 , 14:00:00,8605,8605
193,22/07/2021 , 14:15:00,7875,7875
194,22/07/2021 , 14:30:00,7738,7738
195,22/07/2021 , 14:45:00,6542,6542
196,22/07/2021 , 15:00:00,6021,6021
197,22/07/2021 , 15:15:00,5045,5045
198,22/07/2021 , 15:30:00,4513,4513
199,22/07/2021 , 15:45:00,3762,3762
200,22/07/2021 , 16:00:00,3444,3444
201,22/07/2021 , 16:15:00,2976,2976
202,22/07/2021 , 16:30:00,2379,2379
203,22/07/2021 , 16:45:00,1965,1965
204,22/07/2021 , 17:00:00,1484,1484
205,22/07/2021 , 17:15:00,1227,1227
206,22/07/2021 , 17:30:00,1081,1081
207,22/07/2021 , 17:45:00,960,960
208,22/07/2021 , 18:00:00,790,790
209,22/07/2021 , 18:15:00,661,661
210,22/07/2021 , 18:30:00,606,606
211,22/07/2021 , 18:45:00,493,493
212,22/07/2021 , 19:00:00,409,409
213,22/07/2021 , 19:15:00,327,327
214,22/07/2021 , 19:30:00,256,256
215,22/07/2021 , 19:45:00,179,179
216,22/07/2021 , 20:00:00,173,173
217,22/07/2021 , 20:15:00,139,139
218,22/07/2021 , 20:30:00,100,100
219,22/07/2021 , 20:45:00,45,45
220,22/07/2021 , 21:00:00,16,16
221,22/07/2021 , 21:15:00,4,4
222,22/07/2021 , 21:30:00,0,0
223,22/07/2021 , 21:45:00,0,0
224,22/07/2021 , 22:00:00,0,0
225,22/07/2021 , 22:15:00,0,0
226,22/07/2021 , 22:30:00,0,0
227,22/07/2021 , 22:45:00,0,0
228,22/07/2021 , 23:00:00,0,0
229,22/07/2021 , 23:15:00,0,0
230,22/07/2021 , 23:30:00,0,0
231,22/07/2021 , 23:45:00,0,0
232,22/07/2021 , 24:00:00,0,0
233,23/07/2021 , 00:15:00,0,0
234,23/07/2021 , 00:30:00,0,0
235,23/07/2021 , 00:45:00,0,0
236,23/07/2021 , 01:00:00,0,0
237,23/07/2021 , 01:15:00,0,0
238,23/07/2021 , 01:30:00,0,0
239,23/07/2021 , 01:45:00,0,0
240,23/07/2021 , 02:00:00,0,0
241,23/07/2021 , 02:15:00,0,0
242,23/07/2021 , 02:30:00,0,0
243,23/07/2021 , 02:45:00,0,0
244,23/07/2021 , 03:00:00,0,0
245,23/07/2021 , 03:15:00,0,0
246,23/07/2021 , 03:30:00,0,0
247,23/07/2021 , 03:45:00,0,0
248,23/07/2021 , 04:00:00,0,0
249,23/07/2021 , 04:15:00,0,0
250,23/07/2021 , 04:30:00,0,0
251,23/07/2021 , 04:45:00,0,0
252,23/07/2021 , 05:00:00,0,0
253,23/07/2021 , 05:15:00,0,0
254,23/07/2021 , 05:30:00,0,0
255,23/07/2021 , 05:45:00,11,11
256,23/07/2021 , 06:00:00,35,35
257,23/07/2021 , 06:15:00,81,81
258,23/07/2021 , 06:30:00,132,132
259,23/07/2021 , 06:45:00,194,194
260,23/07/2021 , 07:00:00,255,255
261,23/07/2021 , 07:15:00,313,313
262,23/07/2021 , 07:30:00,396,396
263,23/07/2021 , 07:45:00,563,563
264,23/07/2021 , 08:00:00,696,696
265,23/07/2021 , 08:15:00,990,990
266,23/07/2021 , 08:30:00,849,849
267,23/07/2021 , 08:45:00,1514,1514
268,23/07/2021 , 09:00:00,3361,3361
269,23/07/2021 , 09:15:00,5191,5191
270,23/07/2021 , 09:30:00,8468,8468
271,23/07/2021 , 09:45:00,7682,7682
272,23/07/2021 , 10:00:00,10330,10330
273,23/07/2021 , 10:15:00,11609,11609
274,23/07/2021 , 10:30:00,15933,15933
275,23/07/2021 , 10:45:00,29308,29308
276,23/07/2021 , 11:00:00,35022,35022
