Date,Time,DO conc (mg/L) c:1 2
07/22/21,09:15:00,9.44
07/22/21,09:30:00,8.87
07/22/21,09:45:00,8.75
07/22/21,10:00:00,8.38
07/22/21,10:15:00,8.14
07/22/21,10:30:00,8.06
07/22/21,10:45:00,8.67
07/22/21,11:00:00,8.30
07/22/21,11:15:00,7.98
07/22/21,11:30:00,7.83
07/22/21,11:45:00,7.75
07/22/21,12:00:00,7.87
07/22/21,12:15:00,7.95
07/22/21,12:30:00,17.94
07/22/21,12:45:00,17.70
07/22/21,13:00:00,16.62
07/22/21,13:15:00,16.42
07/22/21,13:30:00,17.61
07/22/21,13:45:00,18.12
07/22/21,14:00:00,17.69
07/22/21,14:15:00,17.00
07/22/21,14:30:00,14.89
07/22/21,14:45:00,13.39
07/22/21,15:00:00,12.70
07/22/21,15:15:00,12.63
07/22/21,15:30:00,12.27
07/22/21,15:45:00,11.97
07/22/21,16:00:00,11.75
07/22/21,16:15:00,11.43
07/22/21,16:30:00,11.37
07/22/21,16:45:00,11.43
07/22/21,17:00:00,11.01
07/22/21,17:15:00,11.32
07/22/21,17:30:00,10.88
07/22/21,17:45:00,11.16
07/22/21,18:00:00,11.22
07/22/21,18:15:00,11.05
07/22/21,18:30:00,11.05
07/22/21,18:45:00,11.03
07/22/21,19:00:00,10.89
07/22/21,19:15:00,10.89
07/22/21,19:30:00,10.87
07/22/21,19:45:00,11.25
07/22/21,20:00:00,11.33
07/22/21,20:15:00,10.90
07/22/21,20:30:00,10.66
07/22/21,20:45:00,10.65
07/22/21,21:00:00,10.63
07/22/21,21:15:00,10.60
07/22/21,21:30:00,10.58
07/22/21,21:45:00,10.03
07/22/21,22:00:00,9.81
07/22/21,22:15:00,10.12
07/22/21,22:30:00,9.50
07/22/21,22:45:00,9.42
07/22/21,23:00:00,9.36
07/22/21,23:15:00,9.41
07/22/21,23:30:00,9.20
07/22/21,23:45:00,9.46
07/23/21,00:00:00,9.11
07/23/21,00:15:00,10.13
07/23/21,00:30:00,10.74
07/23/21,00:45:00,10.71
07/23/21,01:00:00,10.66
07/23/21,01:15:00,10.49
07/23/21,01:30:00,10.92
07/23/21,01:45:00,10.11
07/23/21,02:00:00,10.35
07/23/21,02:15:00,10.77
07/23/21,02:30:00,10.51
07/23/21,02:45:00,10.95
07/23/21,03:00:00,11.15
07/23/21,03:15:00,11.43
07/23/21,03:30:00,11.48
07/23/21,03:45:00,11.36
07/23/21,04:00:00,11.54
07/23/21,04:15:00,11.45
07/23/21,04:30:00,11.22
07/23/21,04:45:00,11.32
07/23/21,05:00:00,11.44
07/23/21,05:15:00,11.49
07/23/21,05:30:00,11.65
07/23/21,05:45:00,11.62
07/23/21,06:00:00,11.61
07/23/21,06:15:00,11.53
07/23/21,06:30:00,11.55
07/23/21,06:45:00,11.58
07/23/21,07:00:00,11.36
07/23/21,07:15:00,11.19
07/23/21,07:30:00,11.37
07/23/21,07:45:00,11.58
07/23/21,08:00:00,11.19
07/23/21,08:15:00,10.84
07/23/21,08:30:00,10.37
07/23/21,08:45:00,9.91
07/23/21,09:00:00,9.77
07/23/21,09:15:00,9.88
07/23/21,09:30:00,10.83
07/23/21,09:45:00,12.13
07/23/21,10:00:00,12.92
07/23/21,10:15:00,14.19
07/23/21,10:30:00,12.74
07/23/21,10:45:00,8.29
07/23/21,11:00:00,8.43
07/23/21,11:15:00,8.15
07/23/21,11:30:00,8.05
07/23/21,11:45:00,7.89
07/23/21,12:00:00,7.87
07/23/21,12:15:00,7.74
07/23/21,12:30:00,8.10
07/23/21,12:45:00,8.30
07/23/21,13:00:00,8.36
07/23/21,13:15:00,8.28
07/23/21,13:30:00,19.80
07/23/21,13:45:00,18.86
07/23/21,14:00:00,18.18
07/23/21,14:15:00,18.08
07/23/21,14:30:00,18.71
07/23/21,14:45:00,19.34
07/23/21,15:00:00,18.19
07/23/21,15:15:00,15.93
07/23/21,15:30:00,13.71
07/23/21,15:45:00,12.95
07/23/21,16:00:00,12.25
07/23/21,16:15:00,11.30
07/23/21,16:30:00,10.94
07/23/21,16:45:00,10.52
07/23/21,17:00:00,10.53
07/23/21,17:15:00,10.44
07/23/21,17:30:00,10.51
07/23/21,17:45:00,10.63
07/23/21,18:00:00,10.94
