Date,Time,Abs Pres (kPa) c:1 2
07/22/21,15:30:00,124.358
07/22/21,15:45:00,125.956
07/22/21,16:00:00,127.560
07/22/21,16:15:00,129.131
07/22/21,16:30:00,130.424
07/22/21,16:45:00,131.604
07/22/21,17:00:00,132.550
07/22/21,17:15:00,133.388
07/22/21,17:30:00,134.118
07/22/21,17:45:00,134.441
07/22/21,18:00:00,134.441
07/22/21,18:15:00,134.369
07/22/21,18:30:00,134.092
07/22/21,18:45:00,133.880
07/22/21,19:00:00,133.773
07/22/21,19:15:00,133.603
07/22/21,19:30:00,133.511
07/22/21,19:45:00,133.326
07/22/21,20:00:00,133.019
07/22/21,20:15:00,132.619
07/22/21,20:30:00,132.116
07/22/21,20:45:00,131.670
07/22/21,21:00:00,131.270
07/22/21,21:15:00,130.902
07/22/21,21:30:00,130.564
07/22/21,21:45:00,130.199
07/22/21,22:00:00,130.046
07/22/21,22:15:00,129.954
07/22/21,22:30:00,129.892
07/22/21,22:45:00,129.969
07/22/21,23:00:00,130.015
07/22/21,23:15:00,130.138
07/22/21,23:30:00,130.245
07/22/21,23:45:00,130.322
07/23/21,00:00:00,130.460
07/23/21,00:15:00,130.660
07/23/21,00:30:00,130.967
07/23/21,00:45:00,131.290
07/23/21,01:00:00,131.612
07/23/21,01:15:00,131.939
07/23/21,01:30:00,132.278
07/23/21,01:45:00,132.724
07/23/21,02:00:00,133.216
07/23/21,02:15:00,133.662
07/23/21,02:30:00,133.924
07/23/21,02:45:00,133.996
07/23/21,03:00:00,133.843
07/23/21,03:15:00,133.596
07/23/21,03:30:00,133.277
07/23/21,03:45:00,132.862
07/23/21,04:00:00,132.401
07/23/21,04:15:00,131.939
07/23/21,04:30:00,131.371
07/23/21,04:45:00,130.633
07/23/21,05:00:00,129.804
07/23/21,05:15:00,128.868
07/23/21,05:30:00,127.926
07/23/21,05:45:00,126.884
07/23/21,06:00:00,125.767
07/23/21,06:15:00,124.651
07/23/21,06:30:00,123.446
07/23/21,06:45:00,122.224
07/23/21,07:00:00,120.919
07/23/21,07:15:00,119.542
07/23/21,07:30:00,118.144
07/23/21,07:45:00,116.732
07/23/21,08:00:00,115.291
07/23/21,08:15:00,113.882
07/23/21,08:30:00,112.531
07/23/21,08:45:00,111.257
07/23/21,09:00:00,110.125
07/23/21,09:15:00,109.072
07/23/21,09:30:00,108.144
07/23/21,09:45:00,107.331
07/23/21,10:00:00,106.571
07/23/21,10:15:00,105.787
07/23/21,10:30:00,105.071
07/23/21,10:45:00,104.392
07/23/21,11:00:00,103.847
07/23/21,11:15:00,103.514
07/23/21,11:30:00,103.244
07/23/21,11:45:00,103.249
07/23/21,12:00:00,103.073
07/23/21,12:15:00,103.139
07/23/21,12:30:00,103.748
07/23/21,12:45:00,104.569
07/23/21,13:00:00,105.278
07/23/21,13:15:00,105.863
07/23/21,13:30:00,106.661
07/23/21,13:45:00,107.733
07/23/21,14:00:00,109.168
07/23/21,14:15:00,110.632
07/23/21,14:30:00,112.167
07/23/21,14:45:00,113.733
07/23/21,15:00:00,115.428
07/23/21,15:15:00,117.292
07/23/21,15:30:00,119.132
07/23/21,15:45:00,120.934
07/23/21,16:00:00,122.837
07/23/21,16:15:00,124.606
07/23/21,16:30:00,126.285
07/23/21,16:45:00,127.985
07/23/21,17:00:00,129.553
07/23/21,17:15:00,130.973
07/23/21,17:30:00,132.153
07/23/21,17:45:00,133.188
07/23/21,18:00:00,134.076
07/23/21,18:15:00,134.622
07/23/21,18:30:00,134.864
07/23/21,18:45:00,134.671
07/23/21,19:00:00,134.290
07/23/21,19:15:00,133.987
07/23/21,19:30:00,133.802
07/23/21,19:45:00,133.740
07/23/21,20:00:00,133.848
07/23/21,20:15:00,133.879
07/23/21,20:30:00,133.740
07/23/21,20:45:00,133.375
07/23/21,21:00:00,132.745
07/23/21,21:15:00,132.084
07/23/21,21:30:00,131.438
07/23/21,21:45:00,130.766
07/23/21,22:00:00,130.229
07/23/21,22:15:00,129.784
07/23/21,22:30:00,129.462
07/23/21,22:45:00,129.282
07/23/21,23:00:00,129.174
07/23/21,23:15:00,129.159
07/23/21,23:30:00,129.144
07/23/21,23:45:00,129.052
07/24/21,00:00:00,128.975
07/24/21,00:15:00,128.848
07/24/21,00:30:00,128.806
07/24/21,00:45:00,128.883
07/24/21,01:00:00,129.098
07/24/21,01:15:00,129.450
07/24/21,01:30:00,129.865
07/24/21,01:45:00,130.310
07/24/21,02:00:00,130.863
07/24/21,02:15:00,131.370
07/24/21,02:30:00,131.831
07/24/21,02:45:00,132.230
07/24/21,03:00:00,132.568
07/24/21,03:15:00,132.876
07/24/21,03:30:00,133.091
07/24/21,03:45:00,133.122
07/24/21,04:00:00,132.968
07/24/21,04:15:00,132.645
07/24/21,04:30:00,132.215
07/24/21,04:45:00,131.784
07/24/21,05:00:00,131.404
07/24/21,05:15:00,130.974
07/24/21,05:30:00,130.437
07/24/21,05:45:00,129.731
07/24/21,06:00:00,128.780
07/24/21,06:15:00,127.722
07/24/21,06:30:00,126.680
07/24/21,06:45:00,125.597
07/24/21,07:00:00,124.493
07/24/21,07:15:00,123.362
07/24/21,07:30:00,122.189
07/24/21,07:45:00,120.923
07/24/21,08:00:00,119.615
07/24/21,08:15:00,118.255
07/24/21,08:30:00,116.870
07/24/21,08:45:00,115.509
07/24/21,09:00:00,114.115
07/24/21,09:15:00,112.768
07/24/21,09:30:00,111.452
07/24/21,09:45:00,110.308
07/24/21,10:00:00,109.198
07/24/21,10:15:00,108.206
07/24/21,10:30:00,107.325
07/24/21,10:45:00,106.526
07/24/21,11:00:00,105.722
07/24/21,11:15:00,104.952
07/24/21,11:30:00,104.272
07/24/21,11:45:00,103.625
07/24/21,12:00:00,103.219
07/24/21,12:15:00,102.926
07/24/21,12:30:00,102.829
07/24/21,12:45:00,102.864
07/24/21,13:00:00,103.096
07/24/21,13:15:00,103.543
07/24/21,13:30:00,104.194
07/24/21,13:45:00,105.055
07/24/21,14:00:00,105.746
07/24/21,14:15:00,106.674
07/24/21,14:30:00,107.869
07/24/21,14:45:00,109.247
07/24/21,15:00:00,110.705
07/24/21,15:15:00,112.278
07/24/21,15:30:00,113.900
07/24/21,15:45:00,115.663
07/24/21,16:00:00,117.471
07/24/21,16:15:00,119.261
07/24/21,16:30:00,121.117
07/24/21,16:45:00,122.972
07/24/21,17:00:00,124.782
07/24/21,17:15:00,126.588
07/24/21,17:30:00,128.396
07/24/21,17:45:00,129.996
07/24/21,18:00:00,131.263
07/24/21,18:15:00,132.367
07/24/21,18:30:00,133.247
07/24/21,18:45:00,133.795
07/24/21,19:00:00,133.998
07/24/21,19:15:00,134.152
07/24/21,19:30:00,134.217
07/24/21,19:45:00,134.279
07/24/21,20:00:00,134.341
07/24/21,20:15:00,134.495
07/24/21,20:30:00,134.448
07/24/21,20:45:00,134.233
07/24/21,21:00:00,133.694
07/24/21,21:15:00,132.960
07/24/21,21:30:00,132.084
07/24/21,21:45:00,131.304
07/24/21,22:00:00,130.613
