datetime,depth,Temperature,Salinity,do_cor,odyPAR,F_s,do_corF_s
2021-06-11T12:15:00Z,2.808,12.11,28.779892720073523,10.665024613463487,4.874338695,0.8347,9.830324613463487
2021-06-11T12:30:00Z,2.758,12.11,28.785857399972862,10.235688422667607,4.874338695,0.8346,9.401088422667607
2021-06-11T12:45:00Z,2.718,12.11,28.766108284413484,9.879475184075408,4.874338695,0.8347,9.044775184075409
2021-06-11T13:00:00Z,2.68,12.11,28.7706974285366,9.365525291443845,4.874338695,0.8347,8.530825291443845
2021-06-11T13:15:00Z,2.634,12.11,28.74908043634429,8.882913806899573,4.874338695,0.8348,8.048113806899574
2021-06-11T13:30:00Z,2.57,12.11,28.741277694991147,8.844263103591915,4.874338695,0.8349,8.009363103591916
2021-06-11T13:45:00Z,2.502,12.11,28.73467285679106,7.872772452885911,4.874338695,0.8349,7.037872452885911
2021-06-11T14:00:00Z,2.425,12.11,28.714649197095092,11.298060456826752,4.874338695,0.835,10.463060456826753
2021-06-11T14:15:00Z,2.334,12.013,28.728753671441115,11.734708942843,4.874338695,0.8348,10.899908942843
2021-06-11T14:30:00Z,2.235,12.013,28.692863030991496,11.561303084759992,4.874338695,0.835,10.72630308475999
2021-06-11T14:45:00Z,2.13,12.013,28.57301497845673,11.793207304605941,4.874338695,0.8356,10.957607304605942
2021-06-11T15:00:00Z,2.017,12.013,28.473212904283848,13.491749022937082,4.874338695,0.8362,12.655549022937082
2021-06-11T15:15:00Z,1.903,12.013,28.119935218306047,13.600388837639688,4.874338695,0.838,12.762388837639689
2021-06-11T15:30:00Z,1.783,12.013,28.258866101194364,13.484436727716712,4.874338695,0.8373,12.647136727716711
2021-06-11T15:45:00Z,1.662,12.013,28.31688772661599,10.644132341405292,4.874338695,0.837,9.807132341405293
2021-06-11T16:00:00Z,1.547,12.013,28.116679685465424,10.214796150609414,4.874338695,0.838,9.376796150609415
2021-06-11T16:15:00Z,1.44,12.013,27.805201481446026,9.64234789621491,4.874338695,0.8397,8.802647896214909
2021-06-11T16:30:00Z,1.339,12.013,27.766063372085934,9.484611242175548,4.874338695,0.8399,8.644711242175548
2021-06-11T16:45:00Z,1.246,12.11,27.825378741857715,9.334186883356555,4.874338695,0.8397,8.494486883356554
