datetime,depth,Temperature,Salinity,do_cor,odyPAR,F_s,do_corF_s
2021-06-10T19:45:00Z,0.465,18.616,25.00552148148819,15.352742792122207,51.143376161,0.8615,14.491242792122208
2021-06-10T20:00:00Z,0.512,18.996,24.900470495399038,15.317967054267402,41.958886266,0.8625,14.455467054267402
2021-06-10T20:15:00Z,0.565,18.996,24.763942928442518,15.264837454767004,25.426804455000003,0.8632,14.401637454767005
2021-06-10T20:30:00Z,0.623,19.282,25.126632975398838,15.20011594264834,15.717486566000002,0.8616,14.33851594264834
2021-06-10T20:45:00Z,0.686,17.855,25.987189373891294,15.14988432130251,6.795410668000001,0.8557,14.29418432130251
2021-06-10T21:00:00Z,0.768,18.045,26.066582596476835,15.018509311628803,2.334372719,0.8555,14.163009311628803
2021-06-10T21:15:00Z,0.87,16.999,26.10042637710533,14.858154520409423,0.759888737,0.8542,14.003954520409422
2021-06-10T21:30:00Z,0.992,17.189,26.092628507673208,14.72001756170839,-0.552181248,0.8545,13.86551756170839
2021-06-10T21:45:00Z,1.131,16.332,27.1205570651055,14.549036850588932,-0.814595245,0.8483,13.700736850588932
2021-06-10T22:00:00Z,1.276,15.378,27.3639022325114,14.404137942860578,-0.814595245,0.8459,13.558237942860577
2021-06-10T22:15:00Z,1.429,14.996,27.56037700968939,14.300776722014351,-0.814595245,0.8445,13.456276722014351
2021-06-10T22:30:00Z,1.577,14.709,27.608173177980145,14.204177450195449,-0.814595245,0.8439,13.360277450195449
2021-06-10T22:45:00Z,1.717,14.421,27.974640812661132,14.165537741467887,-0.814595245,0.8417,13.323837741467887
2021-06-10T23:00:00Z,1.856,13.461,28.478607294933227,14.028366775485043,-0.814595245,0.8379,13.190466775485044
2021-06-10T23:15:00Z,1.998,13.173,28.72052612527131,13.914379634738738,-0.814595245,0.8363,13.078079634738739
2021-06-10T23:30:00Z,2.138,12.883,28.892325583423492,13.803290472147,-0.814595245,0.835,12.968290472147
2021-06-10T23:45:00Z,2.281,12.787,28.85425786078808,13.641003695491243,-0.814595245,0.8351,12.805903695491242
2021-06-11T00:00:00Z,2.433,12.98,28.80622822726865,13.527982547463125,-0.814595245,0.8356,12.692382547463126
2021-06-11T00:15:00Z,2.587,12.98,28.79671456072001,13.398539523225796,-0.814595245,0.8357,12.562839523225797
2021-06-11T00:30:00Z,2.728,12.883,28.817771488042926,13.299042273252324,-0.814595245,0.8354,12.463642273252324
2021-06-11T00:45:00Z,2.847,12.883,28.785938656450192,13.21596689948807,-0.814595245,0.8356,12.38036689948807
2021-06-11T01:00:00Z,2.95,12.98,28.74878011485291,13.09521780971444,-0.814595245,0.8359,12.259317809714439
2021-06-11T01:15:00Z,3.035,12.98,28.741219763374737,12.998618537895535,-0.814595245,0.8359,12.162718537895534
2021-06-11T01:30:00Z,3.104,12.98,28.748095758806254,12.899121287922066,-0.814595245,0.8359,12.063221287922065
2021-06-11T01:45:00Z,3.155,13.076,28.71101028179335,12.828603819494266,-0.814595245,0.8362,11.992403819494266
