datetime,depth,Temperature,Salinity,do_cor,odyPAR,F_s,do_corF_s
2021-06-11T01:15:00Z,2.32,20.138,30.245576949994533,16.644127041254265,2.020470094,0.8367,15.807427041254265
2021-06-11T01:30:00Z,2.383,20.043,30.228675269457966,16.66033703557349,2.020470094,0.8367,15.82363703557349
2021-06-11T01:45:00Z,2.438,20.043,30.219731025153138,16.554348611178575,2.020470094,0.8367,15.717648611178575
2021-06-11T02:00:00Z,2.472,19.948,30.240472048747176,16.49699016974133,2.020470094,0.8365,15.66049016974133
2021-06-11T02:15:00Z,2.513,19.853,30.210602865915718,16.414693275505286,2.020470094,0.8366,15.578093275505285
2021-06-11T02:30:00Z,2.55,19.662,30.182743535394422,16.434644037744327,2.020470094,0.8365,15.598144037744326
2021-06-11T02:45:00Z,2.58,19.567,30.1782972813854,16.33364330390917,2.020470094,0.8364,15.49724330390917
2021-06-11T03:00:00Z,2.602,19.472,30.162741640227626,16.413446352865343,2.020470094,0.8364,15.577046352865343
2021-06-11T03:15:00Z,2.598,19.377,30.159213655141162,16.372297905747317,2.020470094,0.8363,15.535997905747317
2021-06-11T03:30:00Z,2.585,18.996,30.172740698100586,16.514447086700493,2.020470094,0.8358,15.678647086700492
2021-06-11T03:45:00Z,2.562,18.711,30.131511404765742,16.435890960384263,2.020470094,0.8357,15.600190960384264
2021-06-11T04:00:00Z,2.525,18.521,30.155754796316568,16.440878650944022,2.020470094,0.8353,15.605578650944022
2021-06-11T04:15:00Z,2.492,18.426,30.103117726854663,16.438384805664143,2.020470094,0.8355,15.602884805664143
2021-06-11T04:30:00Z,2.45,18.331,30.134226968552134,16.386014054786656,2.020470094,0.8352,15.550814054786656
2021-06-11T04:45:00Z,2.406,18.14,30.108580228999426,16.383520209506777,2.020470094,0.8351,15.548420209506777
2021-06-11T05:00:00Z,2.363,18.14,30.147821319207125,16.22142026631456,2.020470094,0.8349,15.38652026631456
2021-06-11T05:15:00Z,2.326,18.14,30.122551603033177,16.12914799095899,3.4867975540000002,0.8351,15.29404799095899
2021-06-11T05:30:00Z,2.295,18.14,30.14573574084181,16.102962615520248,5.197512924,0.8349,15.268062615520249
