Site Name ,LICOR CAL
Site Number ,20
Logger ,Integrating Light Sensor
Logger Serial Number ,14726


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/09/2021 , 07:05:00,0,0
2,01/09/2021 , 07:10:00,17,17
3,01/09/2021 , 07:15:00,88,88
4,01/09/2021 , 07:20:00,111,111
5,01/09/2021 , 07:25:00,118,118
6,01/09/2021 , 07:30:00,128,128
7,01/09/2021 , 07:35:00,141,141
8,01/09/2021 , 07:40:00,155,155
9,01/09/2021 , 07:45:00,166,166
10,01/09/2021 , 07:50:00,113,113
11,01/09/2021 , 07:55:00,30,30
12,01/09/2021 , 08:00:00,72,72
13,01/09/2021 , 08:05:00,84,84
14,01/09/2021 , 08:10:00,40,40
15,01/09/2021 , 08:15:00,386,386
16,01/09/2021 , 08:20:00,362,362
17,01/09/2021 , 08:25:00,345,345
18,01/09/2021 , 08:30:00,271,271
19,01/09/2021 , 08:35:00,390,390
20,01/09/2021 , 08:40:00,88,88
21,01/09/2021 , 08:45:00,107,107
22,01/09/2021 , 08:50:00,66,66
23,01/09/2021 , 08:55:00,83,83
24,01/09/2021 , 09:00:00,191,191
25,01/09/2021 , 09:05:00,187,187
26,01/09/2021 , 09:10:00,616,616
27,01/09/2021 , 09:15:00,961,961
28,01/09/2021 , 09:20:00,953,953
29,01/09/2021 , 09:25:00,1005,1005
30,01/09/2021 , 09:30:00,995,995
31,01/09/2021 , 09:35:00,993,993
32,01/09/2021 , 09:40:00,1000,1000
33,01/09/2021 , 09:45:00,1015,1015
34,01/09/2021 , 09:50:00,1033,1033
35,01/09/2021 , 09:55:00,1044,1044
36,01/09/2021 , 10:00:00,1055,1055
37,01/09/2021 , 10:05:00,1070,1070
38,01/09/2021 , 10:10:00,1074,1074
39,01/09/2021 , 10:15:00,1079,1079
40,01/09/2021 , 10:20:00,1079,1079
41,01/09/2021 , 10:25:00,1083,1083
42,01/09/2021 , 10:30:00,1085,1085
43,01/09/2021 , 10:35:00,1090,1090
44,01/09/2021 , 10:40:00,1083,1083
45,01/09/2021 , 10:45:00,1080,1080
46,01/09/2021 , 10:50:00,1067,1067
47,01/09/2021 , 10:55:00,1045,1045
48,01/09/2021 , 11:00:00,946,946
49,01/09/2021 , 11:05:00,846,846
50,01/09/2021 , 11:10:00,911,911
51,01/09/2021 , 11:15:00,738,738
52,01/09/2021 , 11:20:00,714,714
53,01/09/2021 , 11:25:00,576,576
54,01/09/2021 , 11:30:00,554,554
55,01/09/2021 , 11:35:00,493,493
56,01/09/2021 , 11:40:00,522,522
57,01/09/2021 , 11:45:00,520,520
58,01/09/2021 , 11:50:00,543,543
59,01/09/2021 , 11:55:00,563,563
60,01/09/2021 , 12:00:00,859,859
61,01/09/2021 , 12:05:00,902,902
62,01/09/2021 , 12:10:00,893,893
63,01/09/2021 , 12:15:00,899,899
64,01/09/2021 , 12:20:00,889,889
65,01/09/2021 , 12:25:00,884,884
66,01/09/2021 , 12:30:00,876,876
67,01/09/2021 , 12:35:00,852,852
68,01/09/2021 , 12:40:00,833,833
69,01/09/2021 , 12:45:00,820,820
70,01/09/2021 , 12:50:00,812,812
71,01/09/2021 , 12:55:00,788,788
72,01/09/2021 , 13:00:00,772,772
73,01/09/2021 , 13:05:00,765,765
74,01/09/2021 , 13:10:00,752,752
75,01/09/2021 , 13:15:00,730,730
76,01/09/2021 , 13:20:00,710,710
77,01/09/2021 , 13:25:00,707,707
78,01/09/2021 , 13:30:00,689,689
79,01/09/2021 , 13:35:00,660,660
80,01/09/2021 , 13:40:00,656,656
81,01/09/2021 , 13:45:00,584,584
82,01/09/2021 , 13:50:00,593,593
83,01/09/2021 , 13:55:00,564,564
84,01/09/2021 , 14:00:00,518,518
85,01/09/2021 , 14:05:00,578,578
86,01/09/2021 , 14:10:00,559,559
87,01/09/2021 , 14:15:00,521,521
88,01/09/2021 , 14:20:00,523,523
89,01/09/2021 , 14:25:00,518,518
90,01/09/2021 , 14:30:00,507,507
91,01/09/2021 , 14:35:00,501,501
92,01/09/2021 , 14:40:00,496,496
93,01/09/2021 , 14:45:00,484,484
94,01/09/2021 , 14:50:00,468,468
95,01/09/2021 , 14:55:00,459,459
96,01/09/2021 , 15:00:00,457,457
97,01/09/2021 , 15:05:00,428,428
98,01/09/2021 , 15:10:00,420,420
99,01/09/2021 , 15:15:00,399,399
100,01/09/2021 , 15:20:00,390,390
101,01/09/2021 , 15:25:00,367,367
102,01/09/2021 , 15:30:00,340,340
103,01/09/2021 , 15:35:00,327,327
104,01/09/2021 , 15:40:00,304,304
105,01/09/2021 , 15:45:00,296,296
106,01/09/2021 , 15:50:00,288,288
107,01/09/2021 , 15:55:00,272,272
108,01/09/2021 , 16:00:00,257,257
109,01/09/2021 , 16:05:00,243,243
110,01/09/2021 , 16:10:00,237,237
