Site Name ,LICOR CAL
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6435


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/09/2021 , 07:05:00,0,0
2,01/09/2021 , 07:10:00,37,37
3,01/09/2021 , 07:15:00,161,161
4,01/09/2021 , 07:20:00,202,202
5,01/09/2021 , 07:25:00,211,211
6,01/09/2021 , 07:30:00,220,220
7,01/09/2021 , 07:35:00,235,235
8,01/09/2021 , 07:40:00,265,265
9,01/09/2021 , 07:45:00,281,281
10,01/09/2021 , 07:50:00,172,172
11,01/09/2021 , 07:55:00,39,39
12,01/09/2021 , 08:00:00,271,271
13,01/09/2021 , 08:05:00,96,96
14,01/09/2021 , 08:10:00,39,39
15,01/09/2021 , 08:15:00,765,765
16,01/09/2021 , 08:20:00,999,999
17,01/09/2021 , 08:25:00,1070,1070
18,01/09/2021 , 08:30:00,856,856
19,01/09/2021 , 08:35:00,340,340
20,01/09/2021 , 08:40:00,295,295
21,01/09/2021 , 08:45:00,534,534
22,01/09/2021 , 08:50:00,528,528
23,01/09/2021 , 08:55:00,440,440
24,01/09/2021 , 09:00:00,203,203
25,01/09/2021 , 09:05:00,227,227
26,01/09/2021 , 09:10:00,1250,1250
27,01/09/2021 , 09:15:00,1803,1803
28,01/09/2021 , 09:20:00,1759,1759
29,01/09/2021 , 09:25:00,1887,1887
30,01/09/2021 , 09:30:00,1781,1781
31,01/09/2021 , 09:35:00,1708,1708
32,01/09/2021 , 09:40:00,1738,1738
33,01/09/2021 , 09:45:00,1788,1788
34,01/09/2021 , 09:50:00,1841,1841
35,01/09/2021 , 09:55:00,1878,1878
36,01/09/2021 , 10:00:00,1914,1914
37,01/09/2021 , 10:05:00,1948,1948
38,01/09/2021 , 10:10:00,1973,1973
39,01/09/2021 , 10:15:00,2010,2010
40,01/09/2021 , 10:20:00,2023,2023
41,01/09/2021 , 10:25:00,2037,2037
42,01/09/2021 , 10:30:00,2052,2052
43,01/09/2021 , 10:35:00,2070,2070
44,01/09/2021 , 10:40:00,2090,2090
45,01/09/2021 , 10:45:00,2109,2109
46,01/09/2021 , 10:50:00,2086,2086
47,01/09/2021 , 10:55:00,2080,2080
48,01/09/2021 , 11:00:00,2072,2072
49,01/09/2021 , 11:05:00,2062,2062
50,01/09/2021 , 11:10:00,2034,2034
51,01/09/2021 , 11:15:00,2014,2014
52,01/09/2021 , 11:20:00,2004,2004
53,01/09/2021 , 11:25:00,1993,1993
54,01/09/2021 , 11:30:00,1988,1988
55,01/09/2021 , 11:35:00,1964,1964
56,01/09/2021 , 11:40:00,1946,1946
57,01/09/2021 , 11:45:00,1927,1927
58,01/09/2021 , 11:50:00,1916,1916
59,01/09/2021 , 11:55:00,1888,1888
60,01/09/2021 , 12:00:00,1867,1867
61,01/09/2021 , 12:05:00,1868,1868
62,01/09/2021 , 12:10:00,1861,1861
63,01/09/2021 , 12:15:00,1880,1880
64,01/09/2021 , 12:20:00,1864,1864
65,01/09/2021 , 12:25:00,1864,1864
66,01/09/2021 , 12:30:00,1851,1851
67,01/09/2021 , 12:35:00,1814,1814
68,01/09/2021 , 12:40:00,1771,1771
69,01/09/2021 , 12:45:00,1760,1760
70,01/09/2021 , 12:50:00,1751,1751
71,01/09/2021 , 12:55:00,1665,1665
72,01/09/2021 , 13:00:00,1686,1686
73,01/09/2021 , 13:05:00,1666,1666
74,01/09/2021 , 13:10:00,1644,1644
75,01/09/2021 , 13:15:00,1601,1601
76,01/09/2021 , 13:20:00,1572,1572
77,01/09/2021 , 13:25:00,1569,1569
78,01/09/2021 , 13:30:00,1529,1529
79,01/09/2021 , 13:35:00,1482,1482
80,01/09/2021 , 13:40:00,1471,1471
81,01/09/2021 , 13:45:00,1323,1323
82,01/09/2021 , 13:50:00,1343,1343
83,01/09/2021 , 13:55:00,1234,1234
84,01/09/2021 , 14:00:00,1141,1141
85,01/09/2021 , 14:05:00,1319,1319
86,01/09/2021 , 14:10:00,1284,1284
87,01/09/2021 , 14:15:00,1206,1206
88,01/09/2021 , 14:20:00,1217,1217
89,01/09/2021 , 14:25:00,1203,1203
90,01/09/2021 , 14:30:00,1180,1180
91,01/09/2021 , 14:35:00,1171,1171
92,01/09/2021 , 14:40:00,1165,1165
93,01/09/2021 , 14:45:00,1136,1136
94,01/09/2021 , 14:50:00,1108,1108
95,01/09/2021 , 14:55:00,1097,1097
96,01/09/2021 , 15:00:00,1092,1092
97,01/09/2021 , 15:05:00,1023,1023
98,01/09/2021 , 15:10:00,1015,1015
99,01/09/2021 , 15:15:00,968,968
100,01/09/2021 , 15:20:00,949,949
101,01/09/2021 , 15:25:00,894,894
102,01/09/2021 , 15:30:00,834,834
103,01/09/2021 , 15:35:00,803,803
104,01/09/2021 , 15:40:00,743,743
105,01/09/2021 , 15:45:00,727,727
