Site Name ,LICOR CAL
Site Number ,11
Logger ,Integrating Light Sensor
Logger Serial Number ,6431


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/09/2021 , 07:05:00,0,0
2,01/09/2021 , 07:10:00,38,38
3,01/09/2021 , 07:15:00,173,173
4,01/09/2021 , 07:20:00,218,218
5,01/09/2021 , 07:25:00,229,229
6,01/09/2021 , 07:30:00,244,244
7,01/09/2021 , 07:35:00,262,262
8,01/09/2021 , 07:40:00,288,288
9,01/09/2021 , 07:45:00,305,305
10,01/09/2021 , 07:50:00,180,180
11,01/09/2021 , 07:55:00,23,23
12,01/09/2021 , 08:00:00,63,63
13,01/09/2021 , 08:05:00,58,58
14,01/09/2021 , 08:10:00,37,37
15,01/09/2021 , 08:15:00,247,247
16,01/09/2021 , 08:20:00,231,231
17,01/09/2021 , 08:25:00,233,233
18,01/09/2021 , 08:30:00,192,192
19,01/09/2021 , 08:35:00,244,244
20,01/09/2021 , 08:40:00,175,175
21,01/09/2021 , 08:45:00,206,206
22,01/09/2021 , 08:50:00,136,136
23,01/09/2021 , 08:55:00,126,126
24,01/09/2021 , 09:00:00,180,180
25,01/09/2021 , 09:05:00,191,191
26,01/09/2021 , 09:10:00,1152,1152
27,01/09/2021 , 09:15:00,1824,1824
28,01/09/2021 , 09:20:00,1779,1779
29,01/09/2021 , 09:25:00,1845,1845
30,01/09/2021 , 09:30:00,1822,1822
31,01/09/2021 , 09:35:00,1709,1709
32,01/09/2021 , 09:40:00,1734,1734
33,01/09/2021 , 09:45:00,1784,1784
34,01/09/2021 , 09:50:00,1856,1856
35,01/09/2021 , 09:55:00,1889,1889
36,01/09/2021 , 10:00:00,1912,1912
37,01/09/2021 , 10:05:00,1958,1958
38,01/09/2021 , 10:10:00,1980,1980
39,01/09/2021 , 10:15:00,2000,2000
40,01/09/2021 , 10:20:00,2019,2019
41,01/09/2021 , 10:25:00,2040,2040
42,01/09/2021 , 10:30:00,2056,2056
43,01/09/2021 , 10:35:00,2062,2062
44,01/09/2021 , 10:40:00,2092,2092
45,01/09/2021 , 10:45:00,2110,2110
46,01/09/2021 , 10:50:00,2086,2086
47,01/09/2021 , 10:55:00,1648,1648
48,01/09/2021 , 11:00:00,1287,1287
49,01/09/2021 , 11:05:00,833,833
50,01/09/2021 , 11:10:00,1282,1282
51,01/09/2021 , 11:15:00,1356,1356
52,01/09/2021 , 11:20:00,1501,1501
53,01/09/2021 , 11:25:00,1186,1186
54,01/09/2021 , 11:30:00,1232,1232
55,01/09/2021 , 11:35:00,1359,1359
56,01/09/2021 , 11:40:00,1559,1559
57,01/09/2021 , 11:45:00,1574,1574
58,01/09/2021 , 11:50:00,1540,1540
59,01/09/2021 , 11:55:00,1741,1741
60,01/09/2021 , 12:00:00,1910,1910
61,01/09/2021 , 12:05:00,1924,1924
62,01/09/2021 , 12:10:00,1913,1913
63,01/09/2021 , 12:15:00,1921,1921
64,01/09/2021 , 12:20:00,1896,1896
65,01/09/2021 , 12:25:00,1901,1901
66,01/09/2021 , 12:30:00,1896,1896
67,01/09/2021 , 12:35:00,1856,1856
68,01/09/2021 , 12:40:00,1820,1820
69,01/09/2021 , 12:45:00,1802,1802
70,01/09/2021 , 12:50:00,1787,1787
71,01/09/2021 , 12:55:00,1742,1742
72,01/09/2021 , 13:00:00,1708,1708
73,01/09/2021 , 13:05:00,1705,1705
74,01/09/2021 , 13:10:00,1679,1679
75,01/09/2021 , 13:15:00,1634,1634
76,01/09/2021 , 13:20:00,1600,1600
77,01/09/2021 , 13:25:00,1596,1596
78,01/09/2021 , 13:30:00,1556,1556
79,01/09/2021 , 13:35:00,1500,1500
80,01/09/2021 , 13:40:00,1495,1495
81,01/09/2021 , 13:45:00,1334,1334
82,01/09/2021 , 13:50:00,1357,1357
83,01/09/2021 , 13:55:00,1271,1271
84,01/09/2021 , 14:00:00,1168,1168
85,01/09/2021 , 14:05:00,1328,1328
86,01/09/2021 , 14:10:00,1290,1290
87,01/09/2021 , 14:15:00,1211,1211
88,01/09/2021 , 14:20:00,1217,1217
89,01/09/2021 , 14:25:00,1208,1208
90,01/09/2021 , 14:30:00,1182,1182
91,01/09/2021 , 14:35:00,1174,1174
92,01/09/2021 , 14:40:00,1170,1170
93,01/09/2021 , 14:45:00,1143,1143
94,01/09/2021 , 14:50:00,1109,1109
95,01/09/2021 , 14:55:00,1092,1092
96,01/09/2021 , 15:00:00,1091,1091
97,01/09/2021 , 15:05:00,1022,1022
98,01/09/2021 , 15:10:00,1007,1007
99,01/09/2021 , 15:15:00,957,957
100,01/09/2021 , 15:20:00,942,942
101,01/09/2021 , 15:25:00,885,885
102,01/09/2021 , 15:30:00,819,819
103,01/09/2021 , 15:35:00,791,791
104,01/09/2021 , 15:40:00,736,736
105,01/09/2021 , 15:45:00,718,718
