Site Name ,LICOR CAL
Site Number ,7
Logger ,Integrating Light Sensor
Logger Serial Number ,14732


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/09/2021 , 07:05:00,0,0
2,01/09/2021 , 07:10:00,59,59
3,01/09/2021 , 07:15:00,235,235
4,01/09/2021 , 07:20:00,290,290
5,01/09/2021 , 07:25:00,296,296
6,01/09/2021 , 07:30:00,288,288
7,01/09/2021 , 07:35:00,322,322
8,01/09/2021 , 07:40:00,377,377
9,01/09/2021 , 07:45:00,406,406
10,01/09/2021 , 07:50:00,283,283
11,01/09/2021 , 07:55:00,133,133
12,01/09/2021 , 08:00:00,731,731
13,01/09/2021 , 08:05:00,119,119
14,01/09/2021 , 08:10:00,72,72
15,01/09/2021 , 08:15:00,244,244
16,01/09/2021 , 08:20:00,263,263
17,01/09/2021 , 08:25:00,240,240
18,01/09/2021 , 08:30:00,1191,1191
19,01/09/2021 , 08:35:00,609,609
20,01/09/2021 , 08:40:00,65,65
21,01/09/2021 , 08:45:00,120,120
22,01/09/2021 , 08:50:00,108,108
23,01/09/2021 , 08:55:00,123,123
24,01/09/2021 , 09:00:00,302,302
25,01/09/2021 , 09:05:00,333,333
26,01/09/2021 , 09:10:00,1280,1280
27,01/09/2021 , 09:15:00,2436,2436
28,01/09/2021 , 09:20:00,2509,2509
29,01/09/2021 , 09:25:00,2902,2902
30,01/09/2021 , 09:30:00,2813,2813
31,01/09/2021 , 09:35:00,2625,2625
32,01/09/2021 , 09:40:00,2656,2656
33,01/09/2021 , 09:45:00,2691,2691
34,01/09/2021 , 09:50:00,2722,2722
35,01/09/2021 , 09:55:00,2737,2737
36,01/09/2021 , 10:00:00,2774,2774
37,01/09/2021 , 10:05:00,2800,2800
38,01/09/2021 , 10:10:00,2954,2954
39,01/09/2021 , 10:15:00,2968,2968
40,01/09/2021 , 10:20:00,2974,2974
41,01/09/2021 , 10:25:00,2983,2983
42,01/09/2021 , 10:30:00,2981,2981
43,01/09/2021 , 10:35:00,3025,3025
44,01/09/2021 , 10:40:00,3067,3067
45,01/09/2021 , 10:45:00,3067,3067
46,01/09/2021 , 10:50:00,3003,3003
47,01/09/2021 , 10:55:00,2483,2483
48,01/09/2021 , 11:00:00,2871,2871
49,01/09/2021 , 11:05:00,3015,3015
50,01/09/2021 , 11:10:00,2990,2990
51,01/09/2021 , 11:15:00,2962,2962
52,01/09/2021 , 11:20:00,2934,2934
53,01/09/2021 , 11:25:00,2911,2911
54,01/09/2021 , 11:30:00,2904,2904
55,01/09/2021 , 11:35:00,2855,2855
56,01/09/2021 , 11:40:00,2831,2831
57,01/09/2021 , 11:45:00,2804,2804
58,01/09/2021 , 11:50:00,2767,2767
59,01/09/2021 , 11:55:00,2711,2711
60,01/09/2021 , 12:00:00,2686,2686
61,01/09/2021 , 12:05:00,2679,2679
62,01/09/2021 , 12:10:00,2659,2659
63,01/09/2021 , 12:15:00,2672,2672
64,01/09/2021 , 12:20:00,2645,2645
65,01/09/2021 , 12:25:00,2635,2635
66,01/09/2021 , 12:30:00,2612,2612
67,01/09/2021 , 12:35:00,2544,2544
68,01/09/2021 , 12:40:00,2494,2494
69,01/09/2021 , 12:45:00,2467,2467
70,01/09/2021 , 12:50:00,2440,2440
71,01/09/2021 , 12:55:00,2378,2378
72,01/09/2021 , 13:00:00,2331,2331
73,01/09/2021 , 13:05:00,2305,2305
74,01/09/2021 , 13:10:00,2272,2272
75,01/09/2021 , 13:15:00,2211,2211
76,01/09/2021 , 13:20:00,2157,2157
77,01/09/2021 , 13:25:00,2145,2145
78,01/09/2021 , 13:30:00,2092,2092
79,01/09/2021 , 13:35:00,2012,2012
80,01/09/2021 , 13:40:00,2005,2005
81,01/09/2021 , 13:45:00,1732,1732
82,01/09/2021 , 13:50:00,1809,1809
83,01/09/2021 , 13:55:00,1641,1641
84,01/09/2021 , 14:00:00,1493,1493
85,01/09/2021 , 14:05:00,1775,1775
86,01/09/2021 , 14:10:00,1722,1722
87,01/09/2021 , 14:15:00,1631,1631
88,01/09/2021 , 14:20:00,1626,1626
89,01/09/2021 , 14:25:00,1612,1612
90,01/09/2021 , 14:30:00,1576,1576
91,01/09/2021 , 14:35:00,1567,1567
92,01/09/2021 , 14:40:00,1554,1554
93,01/09/2021 , 14:45:00,1524,1524
94,01/09/2021 , 14:50:00,1474,1474
95,01/09/2021 , 14:55:00,1443,1443
96,01/09/2021 , 15:00:00,1442,1442
97,01/09/2021 , 15:05:00,1361,1361
98,01/09/2021 , 15:10:00,1333,1333
99,01/09/2021 , 15:15:00,1276,1276
100,01/09/2021 , 15:20:00,1248,1248
101,01/09/2021 , 15:25:00,1177,1177
102,01/09/2021 , 15:30:00,1081,1081
103,01/09/2021 , 15:35:00,1059,1059
104,01/09/2021 , 15:40:00,985,985
