Site Name ,LICOR CAL
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,6436


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/09/2021 , 07:05:00,1,1
2,01/09/2021 , 07:10:00,39,39
3,01/09/2021 , 07:15:00,156,156
4,01/09/2021 , 07:20:00,195,195
5,01/09/2021 , 07:25:00,202,202
6,01/09/2021 , 07:30:00,208,208
7,01/09/2021 , 07:35:00,224,224
8,01/09/2021 , 07:40:00,254,254
9,01/09/2021 , 07:45:00,272,272
10,01/09/2021 , 07:50:00,167,167
11,01/09/2021 , 07:55:00,63,63
12,01/09/2021 , 08:00:00,275,275
13,01/09/2021 , 08:05:00,137,137
14,01/09/2021 , 08:10:00,61,61
15,01/09/2021 , 08:15:00,1287,1287
16,01/09/2021 , 08:20:00,1540,1540
17,01/09/2021 , 08:25:00,1627,1627
18,01/09/2021 , 08:30:00,1257,1257
19,01/09/2021 , 08:35:00,759,759
20,01/09/2021 , 08:40:00,393,393
21,01/09/2021 , 08:45:00,433,433
22,01/09/2021 , 08:50:00,381,381
23,01/09/2021 , 08:55:00,462,462
24,01/09/2021 , 09:00:00,411,411
25,01/09/2021 , 09:05:00,353,353
26,01/09/2021 , 09:10:00,1142,1142
27,01/09/2021 , 09:15:00,1661,1661
28,01/09/2021 , 09:20:00,1646,1646
29,01/09/2021 , 09:25:00,1740,1740
30,01/09/2021 , 09:30:00,1667,1667
31,01/09/2021 , 09:35:00,1546,1546
32,01/09/2021 , 09:40:00,1569,1569
33,01/09/2021 , 09:45:00,1601,1601
34,01/09/2021 , 09:50:00,1643,1643
35,01/09/2021 , 09:55:00,1681,1681
36,01/09/2021 , 10:00:00,1716,1716
37,01/09/2021 , 10:05:00,1751,1751
38,01/09/2021 , 10:10:00,1777,1777
39,01/09/2021 , 10:15:00,1814,1814
40,01/09/2021 , 10:20:00,1840,1840
41,01/09/2021 , 10:25:00,1855,1855
42,01/09/2021 , 10:30:00,1869,1869
43,01/09/2021 , 10:35:00,1887,1887
44,01/09/2021 , 10:40:00,1916,1916
45,01/09/2021 , 10:45:00,1922,1922
46,01/09/2021 , 10:50:00,1940,1940
47,01/09/2021 , 10:55:00,1938,1938
48,01/09/2021 , 11:00:00,1930,1930
49,01/09/2021 , 11:05:00,1923,1923
50,01/09/2021 , 11:10:00,1897,1897
51,01/09/2021 , 11:15:00,1882,1882
52,01/09/2021 , 11:20:00,1872,1872
53,01/09/2021 , 11:25:00,1868,1868
54,01/09/2021 , 11:30:00,1858,1858
55,01/09/2021 , 11:35:00,1836,1836
56,01/09/2021 , 11:40:00,1830,1830
57,01/09/2021 , 11:45:00,1813,1813
58,01/09/2021 , 11:50:00,1796,1796
59,01/09/2021 , 11:55:00,1773,1773
60,01/09/2021 , 12:00:00,1757,1757
61,01/09/2021 , 12:05:00,1762,1762
62,01/09/2021 , 12:10:00,1756,1756
63,01/09/2021 , 12:15:00,1768,1768
64,01/09/2021 , 12:20:00,1756,1756
65,01/09/2021 , 12:25:00,1758,1758
66,01/09/2021 , 12:30:00,1744,1744
67,01/09/2021 , 12:35:00,1707,1707
68,01/09/2021 , 12:40:00,1680,1680
69,01/09/2021 , 12:45:00,1661,1661
70,01/09/2021 , 12:50:00,1651,1651
71,01/09/2021 , 12:55:00,1606,1606
72,01/09/2021 , 13:00:00,1590,1590
73,01/09/2021 , 13:05:00,1571,1571
74,01/09/2021 , 13:10:00,1543,1543
75,01/09/2021 , 13:15:00,1510,1510
76,01/09/2021 , 13:20:00,1487,1487
77,01/09/2021 , 13:25:00,1485,1485
78,01/09/2021 , 13:30:00,1447,1447
79,01/09/2021 , 13:35:00,1405,1405
80,01/09/2021 , 13:40:00,1395,1395
81,01/09/2021 , 13:45:00,1261,1261
82,01/09/2021 , 13:50:00,1277,1277
83,01/09/2021 , 13:55:00,1179,1179
84,01/09/2021 , 14:00:00,1097,1097
85,01/09/2021 , 14:05:00,1256,1256
86,01/09/2021 , 14:10:00,1225,1225
87,01/09/2021 , 14:15:00,1149,1149
88,01/09/2021 , 14:20:00,1161,1161
89,01/09/2021 , 14:25:00,1148,1148
90,01/09/2021 , 14:30:00,1127,1127
91,01/09/2021 , 14:35:00,1121,1121
92,01/09/2021 , 14:40:00,1113,1113
93,01/09/2021 , 14:45:00,1085,1085
94,01/09/2021 , 14:50:00,1062,1062
95,01/09/2021 , 14:55:00,1053,1053
96,01/09/2021 , 15:00:00,1047,1047
97,01/09/2021 , 15:05:00,980,980
98,01/09/2021 , 15:10:00,977,977
99,01/09/2021 , 15:15:00,934,934
100,01/09/2021 , 15:20:00,913,913
101,01/09/2021 , 15:25:00,862,862
102,01/09/2021 , 15:30:00,804,804
103,01/09/2021 , 15:35:00,777,777
104,01/09/2021 , 15:40:00,721,721
105,01/09/2021 , 15:45:00,706,706
