Site Name ,LICOR CAL
Site Number ,13
Logger ,Integrating Light Sensor
Logger Serial Number ,14731


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/09/2021 , 07:05:00,0,0
2,01/09/2021 , 07:10:00,53,53
3,01/09/2021 , 07:15:00,218,218
4,01/09/2021 , 07:20:00,270,270
5,01/09/2021 , 07:25:00,278,278
6,01/09/2021 , 07:30:00,277,277
7,01/09/2021 , 07:35:00,304,304
8,01/09/2021 , 07:40:00,352,352
9,01/09/2021 , 07:45:00,377,377
10,01/09/2021 , 07:50:00,253,253
11,01/09/2021 , 07:55:00,115,115
12,01/09/2021 , 08:00:00,553,553
13,01/09/2021 , 08:05:00,142,142
14,01/09/2021 , 08:10:00,84,84
15,01/09/2021 , 08:15:00,1018,1018
16,01/09/2021 , 08:20:00,935,935
17,01/09/2021 , 08:25:00,705,705
18,01/09/2021 , 08:30:00,1197,1197
19,01/09/2021 , 08:35:00,590,590
20,01/09/2021 , 08:40:00,59,59
21,01/09/2021 , 08:45:00,106,106
22,01/09/2021 , 08:50:00,94,94
23,01/09/2021 , 08:55:00,128,128
24,01/09/2021 , 09:00:00,229,229
25,01/09/2021 , 09:05:00,279,279
26,01/09/2021 , 09:10:00,1018,1018
27,01/09/2021 , 09:15:00,1996,1996
28,01/09/2021 , 09:20:00,1974,1974
29,01/09/2021 , 09:25:00,2317,2317
30,01/09/2021 , 09:30:00,2259,2259
31,01/09/2021 , 09:35:00,2029,2029
32,01/09/2021 , 09:40:00,2049,2049
33,01/09/2021 , 09:45:00,2078,2078
34,01/09/2021 , 09:50:00,2098,2098
35,01/09/2021 , 09:55:00,2131,2131
36,01/09/2021 , 10:00:00,2139,2139
37,01/09/2021 , 10:05:00,2101,2101
38,01/09/2021 , 10:10:00,2210,2210
39,01/09/2021 , 10:15:00,2260,2260
40,01/09/2021 , 10:20:00,2294,2294
41,01/09/2021 , 10:25:00,2314,2314
42,01/09/2021 , 10:30:00,2327,2327
43,01/09/2021 , 10:35:00,2354,2354
44,01/09/2021 , 10:40:00,2395,2395
45,01/09/2021 , 10:45:00,2488,2488
46,01/09/2021 , 10:50:00,2525,2525
47,01/09/2021 , 10:55:00,2544,2544
48,01/09/2021 , 11:00:00,2550,2550
49,01/09/2021 , 11:05:00,2568,2568
50,01/09/2021 , 11:10:00,2547,2547
51,01/09/2021 , 11:15:00,2524,2524
52,01/09/2021 , 11:20:00,2500,2500
53,01/09/2021 , 11:25:00,2485,2485
54,01/09/2021 , 11:30:00,2465,2465
55,01/09/2021 , 11:35:00,2440,2440
56,01/09/2021 , 11:40:00,2416,2416
57,01/09/2021 , 11:45:00,2395,2395
58,01/09/2021 , 11:50:00,2366,2366
59,01/09/2021 , 11:55:00,2332,2332
60,01/09/2021 , 12:00:00,2312,2312
61,01/09/2021 , 12:05:00,2308,2308
62,01/09/2021 , 12:10:00,2294,2294
63,01/09/2021 , 12:15:00,2306,2306
64,01/09/2021 , 12:20:00,2279,2279
65,01/09/2021 , 12:25:00,2276,2276
66,01/09/2021 , 12:30:00,2260,2260
67,01/09/2021 , 12:35:00,2202,2202
68,01/09/2021 , 12:40:00,2163,2163
69,01/09/2021 , 12:45:00,2139,2139
70,01/09/2021 , 12:50:00,2120,2120
71,01/09/2021 , 12:55:00,2072,2072
72,01/09/2021 , 13:00:00,2034,2034
73,01/09/2021 , 13:05:00,2015,2015
74,01/09/2021 , 13:10:00,1990,1990
75,01/09/2021 , 13:15:00,1935,1935
76,01/09/2021 , 13:20:00,1894,1894
77,01/09/2021 , 13:25:00,1887,1887
78,01/09/2021 , 13:30:00,1841,1841
79,01/09/2021 , 13:35:00,1775,1775
80,01/09/2021 , 13:40:00,1769,1769
81,01/09/2021 , 13:45:00,1531,1531
82,01/09/2021 , 13:50:00,1602,1602
83,01/09/2021 , 13:55:00,1422,1422
84,01/09/2021 , 14:00:00,1299,1299
85,01/09/2021 , 14:05:00,1581,1581
86,01/09/2021 , 14:10:00,1533,1533
87,01/09/2021 , 14:15:00,1462,1462
88,01/09/2021 , 14:20:00,1459,1459
89,01/09/2021 , 14:25:00,1443,1443
90,01/09/2021 , 14:30:00,1413,1413
91,01/09/2021 , 14:35:00,1405,1405
92,01/09/2021 , 14:40:00,1398,1398
93,01/09/2021 , 14:45:00,1371,1371
94,01/09/2021 , 14:50:00,1327,1327
95,01/09/2021 , 14:55:00,1304,1304
96,01/09/2021 , 15:00:00,1302,1302
97,01/09/2021 , 15:05:00,1231,1231
98,01/09/2021 , 15:10:00,1208,1208
99,01/09/2021 , 15:15:00,1154,1154
100,01/09/2021 , 15:20:00,1135,1135
101,01/09/2021 , 15:25:00,1070,1070
102,01/09/2021 , 15:30:00,982,982
103,01/09/2021 , 15:35:00,964,964
104,01/09/2021 , 15:40:00,890,890
105,01/09/2021 , 15:45:00,876,876
