Site Name ,LICOR CAL
Site Number ,12
Logger ,Integrating Light Sensor
Logger Serial Number ,6439


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,01/09/2021 , 07:05:00,0,0
2,01/09/2021 , 07:10:00,40,40
3,01/09/2021 , 07:15:00,157,157
4,01/09/2021 , 07:20:00,194,194
5,01/09/2021 , 07:25:00,201,201
6,01/09/2021 , 07:30:00,201,201
7,01/09/2021 , 07:35:00,224,224
8,01/09/2021 , 07:40:00,250,250
9,01/09/2021 , 07:45:00,272,272
10,01/09/2021 , 07:50:00,191,191
11,01/09/2021 , 07:55:00,41,41
12,01/09/2021 , 08:00:00,80,80
13,01/09/2021 , 08:05:00,104,104
14,01/09/2021 , 08:10:00,72,72
15,01/09/2021 , 08:15:00,368,368
16,01/09/2021 , 08:20:00,355,355
17,01/09/2021 , 08:25:00,356,356
18,01/09/2021 , 08:30:00,290,290
19,01/09/2021 , 08:35:00,454,454
20,01/09/2021 , 08:40:00,318,318
21,01/09/2021 , 08:45:00,164,164
22,01/09/2021 , 08:50:00,87,87
23,01/09/2021 , 08:55:00,147,147
24,01/09/2021 , 09:00:00,354,354
25,01/09/2021 , 09:05:00,422,422
26,01/09/2021 , 09:10:00,1136,1136
27,01/09/2021 , 09:15:00,1836,1836
28,01/09/2021 , 09:20:00,1672,1672
29,01/09/2021 , 09:25:00,1860,1860
30,01/09/2021 , 09:30:00,1853,1853
31,01/09/2021 , 09:35:00,1886,1886
32,01/09/2021 , 09:40:00,1902,1902
33,01/09/2021 , 09:45:00,1927,1927
34,01/09/2021 , 09:50:00,1942,1942
35,01/09/2021 , 09:55:00,1967,1967
36,01/09/2021 , 10:00:00,1981,1981
37,01/09/2021 , 10:05:00,1999,1999
38,01/09/2021 , 10:10:00,2009,2009
39,01/09/2021 , 10:15:00,2019,2019
40,01/09/2021 , 10:20:00,2021,2021
41,01/09/2021 , 10:25:00,2026,2026
42,01/09/2021 , 10:30:00,2029,2029
43,01/09/2021 , 10:35:00,2028,2028
44,01/09/2021 , 10:40:00,2026,2026
45,01/09/2021 , 10:45:00,2013,2013
46,01/09/2021 , 10:50:00,1991,1991
47,01/09/2021 , 10:55:00,1951,1951
48,01/09/2021 , 11:00:00,1858,1858
49,01/09/2021 , 11:05:00,1687,1687
50,01/09/2021 , 11:10:00,1699,1699
51,01/09/2021 , 11:15:00,1646,1646
52,01/09/2021 , 11:20:00,1603,1603
53,01/09/2021 , 11:25:00,1606,1606
54,01/09/2021 , 11:30:00,1576,1576
55,01/09/2021 , 11:35:00,1632,1632
56,01/09/2021 , 11:40:00,1627,1627
57,01/09/2021 , 11:45:00,1597,1597
58,01/09/2021 , 11:50:00,1536,1536
59,01/09/2021 , 11:55:00,1535,1535
60,01/09/2021 , 12:00:00,1684,1684
61,01/09/2021 , 12:05:00,1680,1680
62,01/09/2021 , 12:10:00,1662,1662
63,01/09/2021 , 12:15:00,1675,1675
64,01/09/2021 , 12:20:00,1652,1652
65,01/09/2021 , 12:25:00,1644,1644
66,01/09/2021 , 12:30:00,1629,1629
67,01/09/2021 , 12:35:00,1590,1590
68,01/09/2021 , 12:40:00,1554,1554
69,01/09/2021 , 12:45:00,1533,1533
70,01/09/2021 , 12:50:00,1518,1518
71,01/09/2021 , 12:55:00,1477,1477
72,01/09/2021 , 13:00:00,1448,1448
73,01/09/2021 , 13:05:00,1436,1436
74,01/09/2021 , 13:10:00,1414,1414
75,01/09/2021 , 13:15:00,1373,1373
76,01/09/2021 , 13:20:00,1319,1319
77,01/09/2021 , 13:25:00,1310,1310
78,01/09/2021 , 13:30:00,1276,1276
79,01/09/2021 , 13:35:00,1225,1225
80,01/09/2021 , 13:40:00,1220,1220
81,01/09/2021 , 13:45:00,1069,1069
82,01/09/2021 , 13:50:00,1102,1102
83,01/09/2021 , 13:55:00,1044,1044
84,01/09/2021 , 14:00:00,966,966
85,01/09/2021 , 14:05:00,1082,1082
86,01/09/2021 , 14:10:00,1054,1054
87,01/09/2021 , 14:15:00,988,988
88,01/09/2021 , 14:20:00,988,988
89,01/09/2021 , 14:25:00,985,985
90,01/09/2021 , 14:30:00,962,962
91,01/09/2021 , 14:35:00,955,955
92,01/09/2021 , 14:40:00,943,943
93,01/09/2021 , 14:45:00,927,927
94,01/09/2021 , 14:50:00,897,897
95,01/09/2021 , 14:55:00,878,878
96,01/09/2021 , 15:00:00,875,875
97,01/09/2021 , 15:05:00,827,827
98,01/09/2021 , 15:10:00,809,809
99,01/09/2021 , 15:15:00,776,776
100,01/09/2021 , 15:20:00,758,758
101,01/09/2021 , 15:25:00,717,717
102,01/09/2021 , 15:30:00,666,666
103,01/09/2021 , 15:35:00,645,645
104,01/09/2021 , 15:40:00,602,602
105,01/09/2021 , 15:45:00,589,589
106,01/09/2021 , 15:50:00,573,573
