"Plot Title: NI_C_Salinity"
"#","Date Time, GMT-07:00","Specific Conductance, μS/cm (LGR S/N: 10745660)","Salinity, ppt (LGR S/N: 10745660)"
1,05/25/21 02:00:00 PM,0.0,0.0123
2,05/25/21 02:15:00 PM,0.0,0.0123
3,05/25/21 02:30:00 PM,0.0,0.0123
4,05/25/21 02:45:00 PM,0.0,0.0123
5,05/25/21 03:00:00 PM,0.0,0.0123
6,05/25/21 03:15:00 PM,0.0,0.0123
7,05/25/21 03:30:00 PM,0.0,0.0123
8,05/25/21 03:45:00 PM,0.0,0.0123
9,05/25/21 04:00:00 PM,0.0,0.0123
10,05/25/21 04:15:00 PM,0.0,0.0123
11,05/25/21 04:30:00 PM,0.0,0.0123
12,05/25/21 04:45:00 PM,0.0,0.0123
13,05/25/21 05:00:00 PM,0.0,0.0123
14,05/25/21 05:15:00 PM,0.0,0.0123
15,05/25/21 05:30:00 PM,0.0,0.0123
16,05/25/21 05:45:00 PM,0.0,0.0123
17,05/25/21 06:00:00 PM,0.0,0.0123
18,05/25/21 06:15:00 PM,0.0,0.0123
19,05/25/21 06:30:00 PM,0.0,0.0123
20,05/25/21 06:45:00 PM,0.0,0.0123
21,05/25/21 07:00:00 PM,0.0,0.0123
22,05/25/21 07:15:00 PM,0.0,0.0123
23,05/25/21 07:30:00 PM,0.0,0.0123
24,05/25/21 07:45:00 PM,0.0,0.0123
25,05/25/21 08:00:00 PM,0.0,0.0123
26,05/25/21 08:15:00 PM,0.0,0.0123
27,05/25/21 08:30:00 PM,0.0,0.0123
28,05/25/21 08:45:00 PM,0.0,0.0123
29,05/25/21 09:00:00 PM,0.0,0.0123
30,05/25/21 09:15:00 PM,0.0,0.0123
31,05/25/21 09:30:00 PM,0.0,0.0123
32,05/25/21 09:45:00 PM,0.0,0.0123
33,05/25/21 10:00:00 PM,0.0,0.0123
34,05/25/21 10:15:00 PM,0.0,0.0123
35,05/25/21 10:30:00 PM,0.0,0.0123
36,05/25/21 10:45:00 PM,0.0,0.0123
37,05/25/21 11:00:00 PM,0.0,0.0123
38,05/25/21 11:15:00 PM,0.0,0.0123
