MiniDOT Logger Concatenated Data File
Sensor:             7450-914536
Concatenation Date: 2021Jun23 15:46:56 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

"            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q"
"                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)"
"                1622016060,           2021-05-26 08:01:00,           2021-05-26 01:01:00,      3.520000,     21.031000,          9.027000,                   101.322447,      0.965000"
"                1622016960,           2021-05-26 08:16:00,           2021-05-26 01:16:00,      3.520000,     20.956000,          9.026000,                   101.162705,      0.963000"
"                1622017860,           2021-05-26 08:31:00,           2021-05-26 01:31:00,      3.520000,     20.881000,          9.043000,                   101.204486,      0.964000"
"                1622018760,           2021-05-26 08:46:00,           2021-05-26 01:46:00,      3.520000,     20.889000,          9.033000,                   101.108419,      0.963000"
"                1622019660,           2021-05-26 09:01:00,           2021-05-26 02:01:00,      3.520000,     20.831000,          9.050000,                   101.183605,      0.964000"
"                1622020560,           2021-05-26 09:16:00,           2021-05-26 02:16:00,      3.520000,     20.797000,          9.062000,                   101.250222,      0.964000"
"                1622021460,           2021-05-26 09:31:00,           2021-05-26 02:31:00,      3.520000,     20.772000,          9.063000,                   101.211727,      0.963000"
"                1622022360,           2021-05-26 09:46:00,           2021-05-26 02:46:00,      3.520000,     20.764000,          9.063000,                   101.195835,      0.963000"
"                1622023260,           2021-05-26 10:01:00,           2021-05-26 03:01:00,      3.520000,     20.722000,          9.068000,                   101.168189,      0.963000"
"                1622024160,           2021-05-26 10:16:00,           2021-05-26 03:16:00,      3.520000,     20.697000,          9.078000,                   101.230020,      0.963000"
"                1622025060,           2021-05-26 10:31:00,           2021-05-26 03:31:00,      3.520000,     20.663000,          9.079000,                   101.173531,      0.963000"
"                1622025960,           2021-05-26 10:46:00,           2021-05-26 03:46:00,      3.520000,     20.672000,          9.081000,                   101.213726,      0.963000"
"                1622026860,           2021-05-26 11:01:00,           2021-05-26 04:01:00,      3.520000,     20.655000,          9.083000,                   101.202185,      0.963000"
"                1622027760,           2021-05-26 11:16:00,           2021-05-26 04:16:00,      3.520000,     20.621000,          9.095000,                   101.268140,      0.964000"
"                1622028660,           2021-05-26 11:31:00,           2021-05-26 04:31:00,      3.520000,     20.605000,          9.095000,                   101.236262,      0.963000"
"                1622029560,           2021-05-26 11:46:00,           2021-05-26 04:46:00,      3.520000,     20.588000,          9.103000,                   101.291411,      0.964000"
"                1622030460,           2021-05-26 12:01:00,           2021-05-26 05:01:00,      3.520000,     20.563000,          9.100000,                   101.208200,      0.963000"
"                1622031360,           2021-05-26 12:16:00,           2021-05-26 05:16:00,      3.520000,     20.513000,          9.112000,                   101.241885,      0.963000"
"                1622032260,           2021-05-26 12:31:00,           2021-05-26 05:31:00,      3.520000,     20.479000,          9.122000,                   101.285082,      0.964000"
"                1622033160,           2021-05-26 12:46:00,           2021-05-26 05:46:00,      3.520000,     20.429000,          9.132000,                   101.296153,      0.964000"
"                1622034060,           2021-05-26 13:01:00,           2021-05-26 06:01:00,      3.530000,     20.395000,          9.139000,                   101.305785,      0.964000"
"                1622034960,           2021-05-26 13:16:00,           2021-05-26 06:16:00,      3.530000,     20.345000,          9.136000,                   101.172557,      0.963000"
"                1622035860,           2021-05-26 13:31:00,           2021-05-26 06:31:00,      3.530000,     20.295000,          9.157000,                   101.304929,      0.964000"
"                1622036760,           2021-05-26 13:46:00,           2021-05-26 06:46:00,      3.530000,     20.278000,          9.147000,                   101.160277,      0.963000"
"                1622037660,           2021-05-26 14:01:00,           2021-05-26 07:01:00,      3.530000,     20.136000,          9.177000,                   101.207044,      0.964000"
"                1622038560,           2021-05-26 14:16:00,           2021-05-26 07:16:00,      3.530000,     20.203000,          9.167000,                   101.231073,      0.964000"
