"Plot Title: TS"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 21076248, SEN S/N: 21076248)","High Range, μS/cm (LGR S/N: 21076248, SEN S/N: 21076248)","Temp, °F (LGR S/N: 21076248, SEN S/N: 21076248)","Specific Conductance, μS/cm (LGR S/N: 21076248)","Salinity, ppt (LGR S/N: 21076248)"
1,05/25/21 02:00:00 PM,0.0,0.0,73.53,0.0,0.0123
2,05/25/21 02:15:00 PM,0.0,0.0,73.67,0.0,0.0123
3,05/25/21 02:30:00 PM,0.0,0.0,73.60,0.0,0.0123
4,05/25/21 02:45:00 PM,0.0,0.0,73.44,0.0,0.0123
5,05/25/21 03:00:00 PM,0.0,0.0,73.42,0.0,0.0123
6,05/25/21 03:15:00 PM,0.0,0.0,73.69,0.0,0.0123
7,05/25/21 03:30:00 PM,0.0,0.0,74.41,0.0,0.0123
8,05/25/21 03:45:00 PM,0.0,0.0,74.28,0.0,0.0123
9,05/25/21 04:00:00 PM,0.0,0.0,71.92,0.0,0.0123
10,05/25/21 04:15:00 PM,0.0,0.0,70.79,0.0,0.0123
11,05/25/21 04:30:00 PM,0.0,0.0,70.39,0.0,0.0123
12,05/25/21 04:45:00 PM,0.0,0.0,70.43,0.0,0.0123
13,05/25/21 05:00:00 PM,0.0,0.0,70.59,0.0,0.0123
14,05/25/21 05:15:00 PM,0.0,0.0,70.47,0.0,0.0123
15,05/25/21 05:30:00 PM,0.0,0.0,70.52,0.0,0.0123
16,05/25/21 05:45:00 PM,0.0,0.0,70.56,0.0,0.0123
17,05/25/21 06:00:00 PM,0.0,0.0,70.61,0.0,0.0123
18,05/25/21 06:15:00 PM,0.0,0.0,70.72,0.0,0.0123
19,05/25/21 06:30:00 PM,0.0,0.0,70.81,0.0,0.0123
20,05/25/21 06:45:00 PM,0.0,0.0,71.28,0.0,0.0123
21,05/25/21 07:00:00 PM,0.0,0.0,71.06,0.0,0.0123
22,05/25/21 07:15:00 PM,0.0,0.0,71.02,0.0,0.0123
23,05/25/21 07:30:00 PM,0.0,0.0,71.06,0.0,0.0123
24,05/25/21 07:45:00 PM,0.0,0.0,71.08,0.0,0.0123
25,05/25/21 08:00:00 PM,0.0,0.0,71.15,0.0,0.0123
26,05/25/21 08:15:00 PM,0.0,0.0,71.19,0.0,0.0123
27,05/25/21 08:30:00 PM,0.0,0.0,71.22,0.0,0.0123
28,05/25/21 08:45:00 PM,0.0,0.0,71.24,0.0,0.0123
29,05/25/21 09:00:00 PM,0.0,0.0,71.24,0.0,0.0123
30,05/25/21 09:15:00 PM,0.0,0.0,72.48,0.0,0.0123
31,05/25/21 09:30:00 PM,0.0,0.0,75.72,0.0,0.0123
32,05/25/21 09:45:00 PM,0.0,0.0,75.94,0.0,0.0123
33,05/25/21 10:00:00 PM,0.0,0.0,75.20,0.0,0.0123
34,05/25/21 10:15:00 PM,0.0,0.0,74.66,0.0,0.0123
35,05/25/21 10:30:00 PM,0.0,0.0,74.66,0.0,0.0123
36,05/25/21 10:45:00 PM,0.0,0.0,74.66,0.0,0.0123
37,05/25/21 11:00:00 PM,0.0,0.0,73.80,0.0,0.0123
38,05/25/21 11:15:00 PM,0.0,0.0,72.68,0.0,0.0123
39,05/25/21 11:30:00 PM,0.0,0.0,72.01,0.0,0.0123
40,05/25/21 11:45:00 PM,0.0,0.0,71.65,0.0,0.0123
41,05/26/21 12:00:00 AM,0.0,0.0,71.38,0.0,0.0123
42,05/26/21 12:15:00 AM,0.0,0.0,71.13,0.0,0.0123
43,05/26/21 12:30:00 AM,0.0,0.0,70.95,0.0,0.0123
44,05/26/21 12:45:00 AM,0.0,0.0,70.77,0.0,0.0123
45,05/26/21 01:00:00 AM,0.0,0.0,70.70,0.0,0.0123
46,05/26/21 01:15:00 AM,0.0,0.0,70.56,0.0,0.0123
47,05/26/21 01:30:00 AM,0.0,0.0,70.39,0.0,0.0123
48,05/26/21 01:45:00 AM,0.0,0.0,70.36,0.0,0.0123
49,05/26/21 02:00:00 AM,0.0,0.0,70.21,0.0,0.0123
50,05/26/21 02:15:00 AM,0.0,0.0,70.12,0.0,0.0123
51,05/26/21 02:30:00 AM,0.0,0.0,70.09,0.0,0.0123
52,05/26/21 02:45:00 AM,0.0,0.0,69.96,0.0,0.0123
53,05/26/21 03:00:00 AM,0.0,0.0,69.87,0.0,0.0123
54,05/26/21 03:15:00 AM,0.0,0.0,69.76,0.0,0.0123
55,05/26/21 03:30:00 AM,0.0,0.0,69.67,0.0,0.0123
56,05/26/21 03:45:00 AM,0.0,0.0,69.67,0.0,0.0123
57,05/26/21 04:00:00 AM,0.0,0.0,69.60,0.0,0.0123
58,05/26/21 04:15:00 AM,0.0,0.0,69.53,0.0,0.0123
59,05/26/21 04:30:00 AM,0.0,0.0,69.48,0.0,0.0123
60,05/26/21 04:45:00 AM,0.0,0.0,69.37,0.0,0.0123
61,05/26/21 05:00:00 AM,0.0,0.0,69.31,0.0,0.0123
62,05/26/21 05:15:00 AM,0.0,0.0,69.22,0.0,0.0123
63,05/26/21 05:30:00 AM,0.0,0.0,69.13,0.0,0.0123
64,05/26/21 05:45:00 AM,0.0,0.0,69.06,0.0,0.0123
65,05/26/21 06:00:00 AM,0.0,0.0,68.94,0.0,0.0123
66,05/26/21 06:15:00 AM,0.0,0.0,68.85,0.0,0.0123
67,05/26/21 06:30:00 AM,0.0,0.0,68.79,0.0,0.0123
68,05/26/21 06:45:00 AM,0.0,0.0,68.65,0.0,0.0123
69,05/26/21 07:00:00 AM,0.0,0.0,68.67,0.0,0.0123
70,05/26/21 07:15:00 AM,0.0,0.0,68.92,0.0,0.0123
71,05/26/21 07:30:00 AM,0.0,0.0,68.92,0.0,0.0123
72,05/26/21 07:45:00 AM,0.0,0.0,69.40,0.0,0.0123
73,05/26/21 08:00:00 AM,0.0,0.0,69.62,0.0,0.0123
74,05/26/21 08:15:00 AM,0.0,0.0,69.71,0.0,0.0123
75,05/26/21 08:30:00 AM,0.0,0.0,69.78,0.0,0.0123
76,05/26/21 08:45:00 AM,0.0,0.0,69.78,0.0,0.0123
77,05/26/21 09:00:00 AM,0.0,0.0,69.60,0.0,0.0123
78,05/26/21 09:15:00 AM,0.0,0.0,69.66,0.0,0.0123
79,05/26/21 09:30:00 AM,0.0,0.0,69.48,0.0,0.0123
80,05/26/21 09:45:00 AM,0.0,0.0,69.31,0.0,0.0123
81,05/26/21 10:00:00 AM,0.0,0.0,69.44,0.0,0.0123
82,05/26/21 10:15:00 AM,0.0,0.0,69.40,0.0,0.0123
83,05/26/21 10:30:00 AM,0.0,0.0,69.33,0.0,0.0123
84,05/26/21 10:45:00 AM,0.0,0.0,69.60,0.0,0.0123
85,05/26/21 11:00:00 AM,0.0,0.0,69.75,0.0,0.0123
86,05/26/21 11:15:00 AM,0.0,0.0,69.58,0.0,0.0123
87,05/26/21 11:30:00 AM,0.0,0.0,69.44,0.0,0.0123
88,05/26/21 11:45:00 AM,0.0,0.0,69.44,0.0,0.0123
89,05/26/21 12:00:00 PM,0.0,0.0,69.69,0.0,0.0123
90,05/26/21 12:15:00 PM,0.0,0.0,69.76,0.0,0.0123
91,05/26/21 12:30:00 PM,0.0,0.0,69.71,0.0,0.0123
92,05/26/21 12:45:00 PM,0.0,0.0,69.69,0.0,0.0123
93,05/26/21 01:00:00 PM,0.0,0.0,69.62,0.0,0.0123
94,05/26/21 01:15:00 PM,0.0,0.0,69.60,0.0,0.0123
95,05/26/21 01:30:00 PM,0.0,0.0,69.58,0.0,0.0123
96,05/26/21 01:45:00 PM,0.0,0.0,69.53,0.0,0.0123
97,05/26/21 02:00:00 PM,0.0,0.0,69.60,0.0,0.0123
98,05/26/21 02:15:00 PM,0.0,0.0,69.40,0.0,0.0123
99,05/26/21 02:30:00 PM,0.0,0.0,70.12,0.0,0.0123
100,05/26/21 02:45:00 PM,0.0,0.0,70.63,0.0,0.0123
101,05/26/21 03:00:00 PM,0.0,0.0,70.93,0.0,0.0123
102,05/26/21 03:15:00 PM,0.0,0.0,71.22,0.0,0.0123
103,05/26/21 03:30:00 PM,0.0,0.0,71.46,0.0,0.0123
104,05/26/21 03:45:00 PM,0.0,0.0,71.64,0.0,0.0123
105,05/26/21 04:00:00 PM,0.0,0.0,71.65,0.0,0.0123
106,05/26/21 04:15:00 PM,0.0,0.0,71.67,0.0,0.0123
107,05/26/21 04:30:00 PM,0.0,0.0,71.46,0.0,0.0123
108,05/26/21 04:45:00 PM,0.0,0.0,71.71,0.0,0.0123
109,05/26/21 05:00:00 PM,0.0,0.0,72.00,0.0,0.0123
110,05/26/21 05:15:00 PM,0.0,0.0,72.16,0.0,0.0123
111,05/26/21 05:30:00 PM,0.0,0.0,71.96,0.0,0.0123
112,05/26/21 05:45:00 PM,0.0,0.0,71.83,0.0,0.0123
113,05/26/21 06:00:00 PM,0.0,0.0,71.87,0.0,0.0123
114,05/26/21 06:15:00 PM,0.0,0.0,72.39,0.0,0.0123
115,05/26/21 06:30:00 PM,0.0,0.0,72.59,0.0,0.0123
116,05/26/21 06:45:00 PM,0.0,0.0,72.57,0.0,0.0123
117,05/26/21 07:00:00 PM,0.0,0.0,72.50,0.0,0.0123
118,05/26/21 07:15:00 PM,0.0,0.0,72.41,0.0,0.0123
119,05/26/21 07:30:00 PM,0.0,0.0,72.27,0.0,0.0123
120,05/26/21 07:45:00 PM,0.0,0.0,72.32,0.0,0.0123
121,05/26/21 08:00:00 PM,0.0,0.0,72.57,0.0,0.0123
122,05/26/21 08:15:00 PM,0.0,0.0,72.50,0.0,0.0123
123,05/26/21 08:30:00 PM,0.0,0.0,72.39,0.0,0.0123
124,05/26/21 08:45:00 PM,0.0,0.0,72.25,0.0,0.0123
125,05/26/21 09:00:00 PM,0.0,0.0,72.09,0.0,0.0123
126,05/26/21 09:15:00 PM,0.0,0.0,71.96,0.0,0.0123
127,05/26/21 09:30:00 PM,0.0,0.0,71.83,0.0,0.0123
128,05/26/21 09:45:00 PM,0.0,0.0,71.74,0.0,0.0123
129,05/26/21 10:00:00 PM,0.0,0.0,71.62,0.0,0.0123
130,05/26/21 10:15:00 PM,0.0,0.0,71.47,0.0,0.0123
131,05/26/21 10:30:00 PM,0.0,0.0,71.33,0.0,0.0123
132,05/26/21 10:45:00 PM,0.0,0.0,71.22,0.0,0.0123
133,05/26/21 11:00:00 PM,0.0,0.0,71.11,0.0,0.0123
134,05/26/21 11:15:00 PM,0.0,0.0,70.97,0.0,0.0123
135,05/26/21 11:30:00 PM,0.0,0.0,70.86,0.0,0.0123
136,05/26/21 11:45:00 PM,0.0,0.0,70.77,0.0,0.0123
137,05/27/21 12:00:00 AM,0.0,0.0,70.65,0.0,0.0123
138,05/27/21 12:15:00 AM,0.0,0.0,70.54,0.0,0.0123
139,05/27/21 12:30:00 AM,0.0,0.0,70.45,0.0,0.0123
140,05/27/21 12:45:00 AM,0.0,0.0,70.36,0.0,0.0123
141,05/27/21 01:00:00 AM,0.0,0.0,70.27,0.0,0.0123
142,05/27/21 01:15:00 AM,0.0,0.0,70.16,0.0,0.0123
143,05/27/21 01:30:00 AM,0.0,0.0,70.09,0.0,0.0123
144,05/27/21 01:45:00 AM,0.0,0.0,69.96,0.0,0.0123
145,05/27/21 02:00:00 AM,0.0,0.0,69.91,0.0,0.0123
146,05/27/21 02:15:00 AM,0.0,0.0,69.82,0.0,0.0123
147,05/27/21 02:30:00 AM,0.0,0.0,69.71,0.0,0.0123
148,05/27/21 02:45:00 AM,0.0,0.0,69.62,0.0,0.0123
149,05/27/21 03:00:00 AM,0.0,0.0,69.57,0.0,0.0123
150,05/27/21 03:15:00 AM,0.0,0.0,69.48,0.0,0.0123
151,05/27/21 03:30:00 AM,0.0,0.0,69.37,0.0,0.0123
152,05/27/21 03:45:00 AM,0.0,0.0,69.31,0.0,0.0123
153,05/27/21 04:00:00 AM,0.0,0.0,69.22,0.0,0.0123
154,05/27/21 04:15:00 AM,0.0,0.0,69.15,0.0,0.0123
155,05/27/21 04:30:00 AM,0.0,0.0,69.08,0.0,0.0123
156,05/27/21 04:45:00 AM,0.0,0.0,68.99,0.0,0.0123
157,05/27/21 05:00:00 AM,0.0,0.0,68.92,0.0,0.0123
158,05/27/21 05:15:00 AM,0.0,0.0,68.85,0.0,0.0123
159,05/27/21 05:30:00 AM,0.0,0.0,68.74,0.0,0.0123
160,05/27/21 05:45:00 AM,0.0,0.0,68.65,0.0,0.0123
161,05/27/21 06:00:00 AM,0.0,0.0,68.56,0.0,0.0123
162,05/27/21 06:15:00 AM,0.0,0.0,68.47,0.0,0.0123
163,05/27/21 06:30:00 AM,0.0,0.0,68.38,0.0,0.0123
164,05/27/21 06:45:00 AM,0.0,0.0,68.32,0.0,0.0123
165,05/27/21 07:00:00 AM,0.0,0.0,68.99,0.0,0.0123
166,05/27/21 07:15:00 AM,0.0,0.0,69.01,0.0,0.0123
167,05/27/21 07:30:00 AM,0.0,0.0,69.33,0.0,0.0123
168,05/27/21 07:45:00 AM,0.0,0.0,69.37,0.0,0.0123
169,05/27/21 08:00:00 AM,0.0,0.0,69.60,0.0,0.0123
170,05/27/21 08:15:00 AM,0.0,0.0,69.48,0.0,0.0123
171,05/27/21 08:30:00 AM,0.0,0.0,69.93,0.0,0.0123
172,05/27/21 08:45:00 AM,0.0,0.0,70.00,0.0,0.0123
173,05/27/21 09:00:00 AM,0.0,0.0,69.69,0.0,0.0123
174,05/27/21 09:15:00 AM,0.0,0.0,69.66,0.0,0.0123
175,05/27/21 09:30:00 AM,0.0,0.0,70.16,0.0,0.0123
176,05/27/21 09:45:00 AM,0.0,0.0,69.93,0.0,0.0123
177,05/27/21 10:00:00 AM,0.0,0.0,69.67,0.0,0.0123
178,05/27/21 10:15:00 AM,0.0,0.0,69.91,0.0,0.0123
179,05/27/21 10:30:00 AM,0.0,0.0,69.53,0.0,0.0123
180,05/27/21 10:45:00 AM,0.0,0.0,69.40,0.0,0.0123
181,05/27/21 11:00:00 AM,0.0,0.0,69.82,0.0,0.0123
182,05/27/21 11:15:00 AM,0.0,0.0,69.51,0.0,0.0123
183,05/27/21 11:30:00 AM,0.0,0.0,69.17,0.0,0.0123
184,05/27/21 11:45:00 AM,0.0,0.0,69.82,0.0,0.0123
185,05/27/21 12:00:00 PM,0.0,0.0,69.69,0.0,0.0123
186,05/27/21 12:15:00 PM,0.0,0.0,69.51,0.0,0.0123
187,05/27/21 12:30:00 PM,0.0,0.0,69.42,0.0,0.0123
188,05/27/21 12:45:00 PM,0.0,0.0,69.49,0.0,0.0123
189,05/27/21 01:00:00 PM,0.0,0.0,69.49,0.0,0.0123
190,05/27/21 01:15:00 PM,0.0,0.0,70.20,0.0,0.0123
191,05/27/21 01:30:00 PM,0.0,0.0,70.43,0.0,0.0123
192,05/27/21 01:45:00 PM,0.0,0.0,70.34,0.0,0.0123
193,05/27/21 02:00:00 PM,0.0,0.0,70.25,0.0,0.0123
194,05/27/21 02:15:00 PM,0.0,0.0,70.20,0.0,0.0123
195,05/27/21 02:30:00 PM,0.0,0.0,70.12,0.0,0.0123
196,05/27/21 02:45:00 PM,0.0,0.0,70.09,0.0,0.0123
197,05/27/21 03:00:00 PM,0.0,0.0,70.00,0.0,0.0123
198,05/27/21 03:15:00 PM,0.0,0.0,69.93,0.0,0.0123
199,05/27/21 03:30:00 PM,0.0,0.0,70.29,0.0,0.0123
200,05/27/21 03:45:00 PM,0.0,0.0,70.86,0.0,0.0123
201,05/27/21 04:00:00 PM,0.0,0.0,70.36,0.0,0.0123
202,05/27/21 04:15:00 PM,0.0,0.0,70.09,0.0,0.0123
203,05/27/21 04:30:00 PM,0.0,0.0,70.00,0.0,0.0123
204,05/27/21 04:45:00 PM,0.0,0.0,70.03,0.0,0.0123
205,05/27/21 05:00:00 PM,0.0,0.0,70.02,0.0,0.0123
206,05/27/21 05:15:00 PM,0.0,0.0,70.36,0.0,0.0123
207,05/27/21 05:30:00 PM,0.0,0.0,70.54,0.0,0.0123
208,05/27/21 05:45:00 PM,0.0,0.0,70.50,0.0,0.0123
209,05/27/21 06:00:00 PM,0.0,0.0,70.47,0.0,0.0123
210,05/27/21 06:15:00 PM,0.0,0.0,70.39,0.0,0.0123
211,05/27/21 06:30:00 PM,0.0,0.0,70.34,0.0,0.0123
212,05/27/21 06:45:00 PM,0.0,0.0,70.29,0.0,0.0123
213,05/27/21 07:00:00 PM,0.0,0.0,70.25,0.0,0.0123
214,05/27/21 07:15:00 PM,0.0,0.0,70.18,0.0,0.0123
215,05/27/21 07:30:00 PM,0.0,0.0,70.11,0.0,0.0123
216,05/27/21 07:45:00 PM,0.0,0.0,70.11,0.0,0.0123
217,05/27/21 08:00:00 PM,0.0,0.0,70.43,0.0,0.0123
218,05/27/21 08:15:00 PM,0.0,0.0,70.43,0.0,0.0123
219,05/27/21 08:30:00 PM,0.0,0.0,70.34,0.0,0.0123
220,05/27/21 08:45:00 PM,0.0,0.0,70.27,0.0,0.0123
221,05/27/21 09:00:00 PM,0.0,0.0,70.16,0.0,0.0123
222,05/27/21 09:15:00 PM,0.0,0.0,70.05,0.0,0.0123
223,05/27/21 09:30:00 PM,0.0,0.0,69.94,0.0,0.0123
224,05/27/21 09:45:00 PM,0.0,0.0,69.82,0.0,0.0123
225,05/27/21 10:00:00 PM,0.0,0.0,69.71,0.0,0.0123
226,05/27/21 10:15:00 PM,0.0,0.0,69.58,0.0,0.0123
227,05/27/21 10:30:00 PM,0.0,0.0,69.48,0.0,0.0123
228,05/27/21 10:45:00 PM,0.0,0.0,69.35,0.0,0.0123
229,05/27/21 11:00:00 PM,0.0,0.0,69.22,0.0,0.0123
230,05/27/21 11:15:00 PM,0.0,0.0,69.13,0.0,0.0123
231,05/27/21 11:30:00 PM,0.0,0.0,69.01,0.0,0.0123
232,05/27/21 11:45:00 PM,0.0,0.0,68.88,0.0,0.0123
233,05/28/21 12:00:00 AM,0.0,0.0,68.74,0.0,0.0123
234,05/28/21 12:15:00 AM,0.0,0.0,68.59,0.0,0.0123
235,05/28/21 12:30:00 AM,0.0,0.0,68.50,0.0,0.0123
236,05/28/21 12:45:00 AM,0.0,0.0,68.41,0.0,0.0123
237,05/28/21 01:00:00 AM,0.0,0.0,68.32,0.0,0.0123
238,05/28/21 01:15:00 AM,0.0,0.0,68.23,0.0,0.0123
239,05/28/21 01:30:00 AM,0.0,0.0,68.14,0.0,0.0123
240,05/28/21 01:45:00 AM,0.0,0.0,68.04,0.0,0.0123
241,05/28/21 02:00:00 AM,0.0,0.0,67.96,0.0,0.0123
242,05/28/21 02:15:00 AM,0.0,0.0,67.87,0.0,0.0123
243,05/28/21 02:30:00 AM,0.0,0.0,67.80,0.0,0.0123
244,05/28/21 02:45:00 AM,0.0,0.0,67.69,0.0,0.0123
245,05/28/21 03:00:00 AM,0.0,0.0,67.60,0.0,0.0123
246,05/28/21 03:15:00 AM,0.0,0.0,67.55,0.0,0.0123
247,05/28/21 03:30:00 AM,0.0,0.0,67.48,0.0,0.0123
248,05/28/21 03:45:00 AM,0.0,0.0,67.41,0.0,0.0123
249,05/28/21 04:00:00 AM,0.0,0.0,67.37,0.0,0.0123
250,05/28/21 04:15:00 AM,0.0,0.0,67.28,0.0,0.0123
251,05/28/21 04:30:00 AM,0.0,0.0,67.21,0.0,0.0123
252,05/28/21 04:45:00 AM,0.0,0.0,67.12,0.0,0.0123
253,05/28/21 05:00:00 AM,0.0,0.0,67.03,0.0,0.0123
254,05/28/21 05:15:00 AM,0.0,0.0,66.96,0.0,0.0123
255,05/28/21 05:30:00 AM,0.0,0.0,66.88,0.0,0.0123
256,05/28/21 05:45:00 AM,0.0,0.0,66.83,0.0,0.0123
