Site Name ,SAMISHISLAND
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14727


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

148,27/05/2021 , 09:00:00,181,181
149,27/05/2021 , 09:15:00,215,215
150,27/05/2021 , 09:30:00,193,193
151,27/05/2021 , 09:45:00,124,124
152,27/05/2021 , 10:00:00,135,135
153,27/05/2021 , 10:15:00,512,512
154,27/05/2021 , 10:30:00,6756,6756
155,27/05/2021 , 10:45:00,3135,3135
156,27/05/2021 , 11:00:00,7868,7868
157,27/05/2021 , 11:15:00,9787,9787
158,27/05/2021 , 11:30:00,10307,10307
159,27/05/2021 , 11:45:00,17363,17363
160,27/05/2021 , 12:00:00,12725,12725
161,27/05/2021 , 12:15:00,8709,8709
162,27/05/2021 , 12:30:00,15358,15358
163,27/05/2021 , 12:45:00,12307,12307
164,27/05/2021 , 13:00:00,15442,15442
165,27/05/2021 , 13:15:00,36676,36676
166,27/05/2021 , 13:30:00,21489,21489
167,27/05/2021 , 13:45:00,22535,22535
168,27/05/2021 , 14:00:00,16506,16506
169,27/05/2021 , 14:15:00,21226,21226
170,27/05/2021 , 14:30:00,9163,9163
171,27/05/2021 , 14:45:00,2234,2234
172,27/05/2021 , 15:00:00,494,494
173,27/05/2021 , 15:15:00,286,286
174,27/05/2021 , 15:30:00,243,243
175,27/05/2021 , 15:45:00,217,217
176,27/05/2021 , 16:00:00,116,116
177,27/05/2021 , 16:15:00,93,93
178,27/05/2021 , 16:30:00,24,24
179,27/05/2021 , 16:45:00,51,51
180,27/05/2021 , 17:00:00,402,402
181,27/05/2021 , 17:15:00,421,421
182,27/05/2021 , 17:30:00,719,719
183,27/05/2021 , 17:45:00,621,621
184,27/05/2021 , 18:00:00,885,885
185,27/05/2021 , 18:15:00,933,933
186,27/05/2021 , 18:30:00,648,648
187,27/05/2021 , 18:45:00,281,281
188,27/05/2021 , 19:00:00,273,273
189,27/05/2021 , 19:15:00,230,230
190,27/05/2021 , 19:30:00,95,95
191,27/05/2021 , 19:45:00,66,66
192,27/05/2021 , 20:00:00,48,48
193,27/05/2021 , 20:15:00,30,30
194,27/05/2021 , 20:30:00,15,15
195,27/05/2021 , 20:45:00,9,9
196,27/05/2021 , 21:00:00,3,3
197,27/05/2021 , 21:15:00,0,0
198,27/05/2021 , 21:30:00,0,0
199,27/05/2021 , 21:45:00,0,0
200,27/05/2021 , 22:00:00,0,0
201,27/05/2021 , 22:15:00,0,0
202,27/05/2021 , 22:30:00,0,0
203,27/05/2021 , 22:45:00,0,0
204,27/05/2021 , 23:00:00,0,0
205,27/05/2021 , 23:15:00,0,0
206,27/05/2021 , 23:30:00,0,0
207,27/05/2021 , 23:45:00,0,0
208,27/05/2021 , 24:00:00,0,0
209,28/05/2021 , 00:15:00,0,0
210,28/05/2021 , 00:30:00,0,0
211,28/05/2021 , 00:45:00,0,0
212,28/05/2021 , 01:00:00,0,0
213,28/05/2021 , 01:15:00,0,0
214,28/05/2021 , 01:30:00,0,0
215,28/05/2021 , 01:45:00,0,0
216,28/05/2021 , 02:00:00,0,0
217,28/05/2021 , 02:15:00,0,0
218,28/05/2021 , 02:30:00,0,0
219,28/05/2021 , 02:45:00,0,0
220,28/05/2021 , 03:00:00,0,0
221,28/05/2021 , 03:15:00,0,0
222,28/05/2021 , 03:30:00,0,0
223,28/05/2021 , 03:45:00,0,0
224,28/05/2021 , 04:00:00,0,0
225,28/05/2021 , 04:15:00,0,0
226,28/05/2021 , 04:30:00,0,0
227,28/05/2021 , 04:45:00,0,0
228,28/05/2021 , 05:00:00,0,0
229,28/05/2021 , 05:15:00,0,0
230,28/05/2021 , 05:30:00,2,2
231,28/05/2021 , 05:45:00,10,10
232,28/05/2021 , 06:00:00,25,25
233,28/05/2021 , 06:15:00,29,29
234,28/05/2021 , 06:30:00,32,32
235,28/05/2021 , 06:45:00,74,74
236,28/05/2021 , 07:00:00,139,139
237,28/05/2021 , 07:15:00,213,213
238,28/05/2021 , 07:30:00,280,280
239,28/05/2021 , 07:45:00,252,252
240,28/05/2021 , 08:00:00,336,336
241,28/05/2021 , 08:15:00,345,345
242,28/05/2021 , 08:30:00,370,370
243,28/05/2021 , 08:45:00,340,340
244,28/05/2021 , 09:00:00,285,285
245,28/05/2021 , 09:15:00,332,332
246,28/05/2021 , 09:30:00,264,264
247,28/05/2021 , 09:45:00,247,247
248,28/05/2021 , 10:00:00,84,84
249,28/05/2021 , 10:15:00,245,245
250,28/05/2021 , 10:30:00,478,478
251,28/05/2021 , 10:45:00,2251,2251
252,28/05/2021 , 11:00:00,2315,2315
253,28/05/2021 , 11:15:00,2173,2173
254,28/05/2021 , 11:30:00,2258,2258
255,28/05/2021 , 11:45:00,2739,2739
256,28/05/2021 , 12:00:00,2868,2868
257,28/05/2021 , 12:15:00,2889,2889
258,28/05/2021 , 12:30:00,2672,2672
259,28/05/2021 , 12:45:00,5216,5216
260,28/05/2021 , 13:00:00,4003,4003
261,28/05/2021 , 13:15:00,4850,4850
262,28/05/2021 , 13:30:00,5557,5557
263,28/05/2021 , 13:45:00,4911,4911
264,28/05/2021 , 14:00:00,7760,7760
265,28/05/2021 , 14:15:00,8131,8131
266,28/05/2021 , 14:30:00,8808,8808
267,28/05/2021 , 14:45:00,8912,8912
268,28/05/2021 , 15:00:00,8628,8628
269,28/05/2021 , 15:15:00,8240,8240
270,28/05/2021 , 15:30:00,6126,6126
271,28/05/2021 , 15:45:00,14571,14571
272,28/05/2021 , 16:00:00,6880,6880
273,28/05/2021 , 16:15:00,5563,5563
274,28/05/2021 , 16:30:00,3913,3913
275,28/05/2021 , 16:45:00,2658,2658
276,28/05/2021 , 17:00:00,1962,1962
277,28/05/2021 , 17:15:00,1438,1438
278,28/05/2021 , 17:30:00,387,387
279,28/05/2021 , 17:45:00,233,233
280,28/05/2021 , 18:00:00,204,204
281,28/05/2021 , 18:15:00,259,259
282,28/05/2021 , 18:30:00,96,96
283,28/05/2021 , 18:45:00,25,25
284,28/05/2021 , 19:00:00,18,18
285,28/05/2021 , 19:15:00,12,12
286,28/05/2021 , 19:30:00,7,7
287,28/05/2021 , 19:45:00,5,5
288,28/05/2021 , 20:00:00,5,5
289,28/05/2021 , 20:15:00,4,4
290,28/05/2021 , 20:30:00,2,2
291,28/05/2021 , 20:45:00,1,1
292,28/05/2021 , 21:00:00,0,0
293,28/05/2021 , 21:15:00,0,0
294,28/05/2021 , 21:30:00,0,0
295,28/05/2021 , 21:45:00,0,0
296,28/05/2021 , 22:00:00,0,0
297,28/05/2021 , 22:15:00,0,0
