Site Name ,LIZ E - NI
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14728


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

144,22/07/2021 , 02:00:00,0,0
145,22/07/2021 , 02:15:00,0,0
146,22/07/2021 , 02:30:00,0,0
147,22/07/2021 , 02:45:00,0,0
148,22/07/2021 , 03:00:00,0,0
149,22/07/2021 , 03:15:00,0,0
150,22/07/2021 , 03:30:00,0,0
151,22/07/2021 , 03:45:00,0,0
152,22/07/2021 , 04:00:00,0,0
153,22/07/2021 , 04:15:00,0,0
154,22/07/2021 , 04:30:00,0,0
155,22/07/2021 , 04:45:00,0,0
156,22/07/2021 , 05:00:00,0,0
157,22/07/2021 , 05:15:00,0,0
158,22/07/2021 , 05:30:00,6,6
159,22/07/2021 , 05:45:00,27,27
160,22/07/2021 , 06:00:00,57,57
161,22/07/2021 , 06:15:00,125,125
162,22/07/2021 , 06:30:00,207,207
163,22/07/2021 , 06:45:00,336,336
164,22/07/2021 , 07:00:00,500,500
165,22/07/2021 , 07:15:00,790,790
166,22/07/2021 , 07:30:00,1271,1271
167,22/07/2021 , 07:45:00,1974,1974
168,22/07/2021 , 08:00:00,2615,2615
169,22/07/2021 , 08:15:00,3186,3186
170,22/07/2021 , 08:30:00,4616,4616
171,22/07/2021 , 08:45:00,6235,6235
172,22/07/2021 , 09:00:00,7695,7695
173,22/07/2021 , 09:15:00,9178,9178
174,22/07/2021 , 09:30:00,10766,10766
175,22/07/2021 , 09:45:00,12659,12659
176,22/07/2021 , 10:00:00,10377,10377
177,22/07/2021 , 10:15:00,15953,15953
178,22/07/2021 , 10:30:00,27049,27049
179,22/07/2021 , 10:45:00,19639,19639
180,22/07/2021 , 11:00:00,5661,5661
181,22/07/2021 , 11:15:00,5848,5848
182,22/07/2021 , 11:30:00,23289,23289
183,22/07/2021 , 11:45:00,28009,28009
184,22/07/2021 , 12:00:00,18523,18523
185,22/07/2021 , 12:15:00,15577,15577
186,22/07/2021 , 12:30:00,9717,9717
187,22/07/2021 , 12:45:00,7506,7506
188,22/07/2021 , 13:00:00,3047,3047
189,22/07/2021 , 13:15:00,9607,9607
190,22/07/2021 , 13:30:00,8677,8677
191,22/07/2021 , 13:45:00,6816,6816
192,22/07/2021 , 14:00:00,6746,6746
193,22/07/2021 , 14:15:00,7433,7433
194,22/07/2021 , 14:30:00,7220,7220
195,22/07/2021 , 14:45:00,6319,6319
196,22/07/2021 , 15:00:00,5520,5520
197,22/07/2021 , 15:15:00,5059,5059
198,22/07/2021 , 15:30:00,4624,4624
199,22/07/2021 , 15:45:00,3969,3969
200,22/07/2021 , 16:00:00,3151,3151
201,22/07/2021 , 16:15:00,2207,2207
202,22/07/2021 , 16:30:00,1646,1646
203,22/07/2021 , 16:45:00,706,706
204,22/07/2021 , 17:00:00,917,917
205,22/07/2021 , 17:15:00,1159,1159
206,22/07/2021 , 17:30:00,809,809
207,22/07/2021 , 17:45:00,548,548
208,22/07/2021 , 18:00:00,400,400
209,22/07/2021 , 18:15:00,337,337
210,22/07/2021 , 18:30:00,299,299
211,22/07/2021 , 18:45:00,275,275
212,22/07/2021 , 19:00:00,216,216
213,22/07/2021 , 19:15:00,164,164
214,22/07/2021 , 19:30:00,109,109
215,22/07/2021 , 19:45:00,72,72
216,22/07/2021 , 20:00:00,46,46
217,22/07/2021 , 20:15:00,27,27
218,22/07/2021 , 20:30:00,19,19
219,22/07/2021 , 20:45:00,8,8
220,22/07/2021 , 21:00:00,2,2
221,22/07/2021 , 21:15:00,0,0
222,22/07/2021 , 21:30:00,0,0
223,22/07/2021 , 21:45:00,0,0
224,22/07/2021 , 22:00:00,0,0
225,22/07/2021 , 22:15:00,0,0
226,22/07/2021 , 22:30:00,0,0
227,22/07/2021 , 22:45:00,0,0
228,22/07/2021 , 23:00:00,0,0
229,22/07/2021 , 23:15:00,0,0
230,22/07/2021 , 23:30:00,0,0
231,22/07/2021 , 23:45:00,0,0
232,22/07/2021 , 24:00:00,0,0
233,23/07/2021 , 00:15:00,0,0
234,23/07/2021 , 00:30:00,0,0
235,23/07/2021 , 00:45:00,0,0
236,23/07/2021 , 01:00:00,0,0
237,23/07/2021 , 01:15:00,0,0
238,23/07/2021 , 01:30:00,0,0
239,23/07/2021 , 01:45:00,0,0
240,23/07/2021 , 02:00:00,0,0
241,23/07/2021 , 02:15:00,0,0
242,23/07/2021 , 02:30:00,0,0
243,23/07/2021 , 02:45:00,0,0
244,23/07/2021 , 03:00:00,0,0
245,23/07/2021 , 03:15:00,0,0
246,23/07/2021 , 03:30:00,0,0
247,23/07/2021 , 03:45:00,0,0
248,23/07/2021 , 04:00:00,0,0
249,23/07/2021 , 04:15:00,0,0
250,23/07/2021 , 04:30:00,0,0
251,23/07/2021 , 04:45:00,0,0
252,23/07/2021 , 05:00:00,0,0
253,23/07/2021 , 05:15:00,0,0
254,23/07/2021 , 05:30:00,0,0
255,23/07/2021 , 05:45:00,0,0
256,23/07/2021 , 06:00:00,2,2
257,23/07/2021 , 06:15:00,6,6
258,23/07/2021 , 06:30:00,9,9
259,23/07/2021 , 06:45:00,18,18
260,23/07/2021 , 07:00:00,23,23
261,23/07/2021 , 07:15:00,201,201
262,23/07/2021 , 07:30:00,190,190
263,23/07/2021 , 07:45:00,205,205
264,23/07/2021 , 08:00:00,370,370
265,23/07/2021 , 08:15:00,596,596
266,23/07/2021 , 08:30:00,540,540
267,23/07/2021 , 08:45:00,523,523
268,23/07/2021 , 09:00:00,1042,1042
269,23/07/2021 , 09:15:00,1346,1346
270,23/07/2021 , 09:30:00,1626,1626
271,23/07/2021 , 09:45:00,1549,1549
272,23/07/2021 , 10:00:00,2065,2065
273,23/07/2021 , 10:15:00,4242,4242
274,23/07/2021 , 10:30:00,4907,4907
275,23/07/2021 , 10:45:00,12241,12241
276,23/07/2021 , 11:00:00,22297,22297
277,23/07/2021 , 11:15:00,30901,30901
278,23/07/2021 , 11:30:00,32165,32165
279,23/07/2021 , 11:45:00,33749,33749
280,23/07/2021 , 12:00:00,34780,34780
281,23/07/2021 , 12:15:00,35515,35515
282,23/07/2021 , 12:30:00,36057,36057
283,23/07/2021 , 12:45:00,23688,23688
284,23/07/2021 , 13:00:00,13781,13781
285,23/07/2021 , 13:15:00,11963,11963
286,23/07/2021 , 13:30:00,16779,16779
287,23/07/2021 , 13:45:00,16262,16262
288,23/07/2021 , 14:00:00,13336,13336
289,23/07/2021 , 14:15:00,11690,11690
290,23/07/2021 , 14:30:00,10194,10194
291,23/07/2021 , 14:45:00,9164,9164
292,23/07/2021 , 15:00:00,7754,7754
293,23/07/2021 , 15:15:00,6584,6584
294,23/07/2021 , 15:30:00,5637,5637
295,23/07/2021 , 15:45:00,4838,4838
296,23/07/2021 , 16:00:00,3970,3970
297,23/07/2021 , 16:15:00,3370,3370
298,23/07/2021 , 16:30:00,3124,3124
299,23/07/2021 , 16:45:00,2641,2641
300,23/07/2021 , 17:00:00,2450,2450
301,23/07/2021 , 17:15:00,2205,2205
302,23/07/2021 , 17:30:00,1936,1936
303,23/07/2021 , 17:45:00,1625,1625
304,23/07/2021 , 18:00:00,1417,1417
305,23/07/2021 , 18:15:00,1203,1203
306,23/07/2021 , 18:30:00,951,951
307,23/07/2021 , 18:45:00,372,372
308,23/07/2021 , 19:00:00,74,74
309,23/07/2021 , 19:15:00,56,56
310,23/07/2021 , 19:30:00,32,32
311,23/07/2021 , 19:45:00,28,28
312,23/07/2021 , 20:00:00,32,32
